"Column","Metafile heading","Metafile description","Null field for special schools","Null field for Local Authority","Null field for National records"
"33","Cov24EngPrg","Percentage of pupils included in the Key Stage 2 to Key Stage 4 English progress measure ","","",""
"34","PT24MathPrg","Percentage of pupils achieving expected level of progress between Key Stage 2 and GCSE maths at the end of Key Stage 4  ","","",""
"35","Cov24MathPrg","Percentage of pupils included in Key Stage 2 to Key Stage 4 mathematics progress measure ","","",""
"36","PT24EngPrgLO","Percentage of pupils with low prior attainment achieving expected level of progress between Key Stage 2 and GCSE English at the end of Key Stage 4   ","","",""
"37","PT24EngPrgAV","Percentage of pupils with middle prior attainment achieving expected level of progress between Key Stage 2 and GCSE English at the end of Key Stage 4  ","","",""
"38","PT24EngPrgHI","Percentage of pupils with high prior attainment achieving expected level of progress between Key Stage 2 and GCSE English at the end of Key Stage 4  ","","",""
"39","PT24MathPrgLO","Percentage of pupils with low prior attainment achieving expected level of progress between Key Stage 2 and GCSE Maths at the end of Key Stage 4  ","","",""
"40","PT24MathPrgAV","Percentage of pupils with middle prior attainment achieving expected level of progress between Key Stage 2 and GCSE Maths at the end of Key Stage 4  ","","",""
"41","PT24MathPrgHI","Percentage of pupils with high prior attainment achieving expected level of progress between Key Stage 2 and GCSE Maths at the end of Key Stage 4 ","","",""
"42","PTAC5EM","Percentage of pupils achieving 5+ A*-C or equivalents including A*-C in both English and mathematics GCSEs","","",""
"43","AC5EM08","Percentage of pupils achieving 5+ A*-C or equivalents including A*-C in both English and mathematics GCSEs - 2008","","",""
"44","AC5EM09","Percentage of pupils achieving 5+ A*-C or equivalents including A*-C in both English and mathematics GCSEs - 2009","","",""
"45","AC5EM10","Percentage of pupils achieving 5+ A*-C or equivalents including A*-C in both English and mathematics GCSEs - 2010","","",""
"46","AC5EM11","Percentage of pupils achieving 5+ A*-C or equivalents including A*-C in both English and mathematics GCSEs - 2011","","",""
"47","PTAC5EMLO","Percentage of pupils with low prior attainment achieving 5+ A*-C or equivalents including A*-C in both English and maths GCSEs","","",""
"48","PTAC5EMAV","Percentage of pupils with middle prior attainment achieving 5+ A*-C or equivalents including A*-C in both English and maths GCSEs","","",""
"49","PTAC5EMHI","Percentage of pupils with high prior attainment achieving 5+ A*-C or equivalents including A*-C in both English and maths GCSEs","","",""
"50","TEBACC_E","Number of Key Stage 4 pupils with entries in all English Baccalaureate subject areas","","",""
"51","PTEBACC_E","Percentage of Key Stage 4 pupils with entries in all English Baccalaureate subject areas","","",""
"52","PTEBACC","Percentage of Key Stage 4 pupils achieving the English Baccalaureate","","",""
"53","TEBACENG_E","Number of pupils entering the English Baccalaureate English subject area","","",""
"54","PTEBACENG_E","Percentage of pupils entering the English Baccalaureate English subject area","","",""
"55","TEBACMAT_E","Number of pupils entering the English Baccalaureate Maths subject area","","",""
"56","PTEBACMAT_E","Percentage of pupils entering the English Baccalaureate Maths subject area","","",""
"57","TEBAC2SCI_E","Number of pupils entering the English Baccalaureate Science subject area","","",""
"58","PTEBAC2SCI_E","Percentage of pupils entering the English Baccalaureate Science subject area","","",""
"59","TEBACHUM_E","Number of pupils entering the English Baccalaureate Humanities subject area","","",""
"60","PTEBACHUM_E","Percentage of pupils entering the English Baccalaureate Humanities subject area","","",""
"61","TEBACLAN_E","Number of pupils entering the English Baccalaureate Language subject area","","",""
"62","PTEBACLAN_E","Percentage of pupils entering the English Baccalaureate Language subject area","","",""
"63","PTEBACENG ","Percentage of pupils achieving the English Baccalaureate English subject area","","",""
"64","PTEBACMAT ","Percentage of pupils achieving the English Baccalaureate Maths subject area","","",""
"65","PTEBAC2SCI ","Percentage of entered pupils achieving the English Baccalaureate Science subject area","","",""
"66","PTEBACHUM ","Percentage of entered pupils achieving the English Baccalaureate Humanities subject area","","",""
"67","PTEBACLAN ","Percentage of entered pupils achieving the English Baccalaureate Language subject area","","",""
"68","SCIVACOV","Coverage of the English Baccalaureate Science Value Added indicators of those who entered for science","","Yes","Yes"
"69","HUMVACOV","Coverage of the English Baccalaureate Humanities Value Added indicators of those who entered for humanities","","Yes","Yes"
"70","LANVACOV","Coverage of the English Baccalaureate Language Value Added indicators of those who entered for languages","","Yes","Yes"
"71","ENGVAMEA","English Baccalaureate English Value Added measure","","Yes","Yes"
"72","ENGVALOW","English Baccalaureate English Value Added lower 95% confidence limit","","Yes","Yes"
"73","ENGVAUPP","English Baccalaureate English Value Added upper 95% confidence limit","","Yes","Yes"
"74","MATVAMEA","English Baccalaureate Maths Value Added measure","","Yes","Yes"
"75","MATVALOW","English Baccalaureate Maths Value Added lower 95% confidence limit","","Yes","Yes"
"76","MATVAUPP","English Baccalaureate Maths Value Added upper 95% confidence limit","","Yes","Yes"
"77","SCIVAMEA","English Baccalaureate Science Value Added measure","","Yes","Yes"
"78","SCIVALOW","English Baccalaureate Science Value Added lower 95% confidence limit","","Yes","Yes"
"79","SCIVAUPP","English Baccalaureate Science Value Added upper 95% confidence limit","","Yes","Yes"
"80","HUMVAMEA","English Baccalaureate Humanities Value Added measure","","Yes","Yes"
"81","HUMVALOW","English Baccalaureate Humanities Value Added lower 95% confidence limit","","Yes","Yes"
"82","HUMVAUPP","English Baccalaureate Humanities Value Added upper 95% confidence limit","","Yes","Yes"
"83","LANVAMEA","English Baccalaureate Languages Value Added measure","","Yes","Yes"
"84","LANVALOW","English Baccalaureate Languages Value Added lower 95% confidence limit","","Yes","Yes"
"85","LANVAUPP","English Baccalaureate Languages Value Added upper 95% confidence limit","","Yes","Yes"
"86","PTL2BASICS","Percentage of KS4 pupils achieving grades A*-C in both English and mathematics GCSEs ","","",""
"87","PTFSMBASICS","Percentage of disadvantaged pupils achieving grades A*-C in both English and mathematics GCSEs  ","","",""
"88","PTNOTFSMBASICS","Percentage of pupils who are not disadvantaged (non-FSM+CLA pupils) achieving grades A*-C in both English and mathematics GCSEs  ","","",""
"89","VACOV","Coverage of Best 8 GCSE and equivalents, English and Maths Value Added indicators ","","Yes","Yes"
"90","B8VAMEA","Value Added measure based on the best 8 GCSE and equivalent results","","Yes","Yes"
"91","B8VALOW","Lower 95% confidence limit for Value Added measure based on best 8 GCSE and equivalent results","","Yes","Yes"
"92","B8VAUPP","Upper 95% confidence limit for Value Added measure based on best 8 GCSE and equivalent results","","Yes","Yes"
"93","B8VAMEA_LO","Value Added measure based on the best 8 GCSE and equivalent results - low prior attainment","","Yes",""
"94","B8VAMEA_AV","Value Added measure based on the best 8 GCSE and equivalent results - middle prior attainment","","Yes",""
"95","B8VAMEA_HI","Value Added measure based on the best 8 GCSE and equivalent results - high prior attainment","","Yes",""
"96","TAVENT_E","Average number of Key Stage 4 GCSE and equivalents entries per pupil","","",""
"97","TAVENT_ELO","Average number of Key Stage 4 GCSE and equivalents entries per pupil with low prior attainment","","",""
"98","TAVENT_EAV","Average number of Key Stage 4 GCSE and equivalents entries per pupil with middle prior attainment","","",""
"99","TAVENT_EHI","Average number of Key Stage 4 GCSE and equivalents entries per pupil with high prior attainment","","",""
"100","TAVENT_G","Average number of GCSE only entries per pupil (see Abbreviations for definition of GCSE only)","","",""
"101","TAVENT_GLO","Average number of GCSE only entries per pupil with low prior attainment (see Abbreviations for definition of GCSE only)","","",""
"102","TAVENT_GAV","Average number of GCSE only entries per pupil with middle prior attainment (see Abbreviations for definition of GCSE only)","","",""
"103","TAVENT_GHI","Average number of GCSE only entries per pupil with high prior attainment (see Abbreviations for definition of GCSE only)","","",""
"104","AVGRDPEPPLO","Average grade per qualification per pupil for pupils with low prior attainment","","Yes","Yes"
"105","AVGRDPEPPAV","Average grade per qualification per pupil for pupils with middle prior attainment","","Yes","Yes"
"106","AVGRDPEPPHI","Average grade per qualification per pupil for pupils with high prior attainment","","Yes","Yes"
"107","AVGRDGPEPPLO","Average grade per GCSE per pupil for pupils with low prior attainment","","Yes","Yes"
"108","AVGRDGPEPPAV","Average grade per GCSE per pupil for pupils with middle prior attainment","","Yes","Yes"
"109","AVGRDGPEPPHI","Average grade per GCSE per pupil for pupils with high prior attainment","","Yes","Yes"
"110","TTAPSCP","Total average (capped) point score per pupil","","",""
"111","TTAPSCPLO","Total average (capped) point score per pupil with low prior attainment","","",""
"112","TTAPSCPAV","Total average (capped) point score per pupil with middle prior attainment","","",""
"113","TTAPSCPHI","Total average (capped) point score per pupil with high prior attainment","","",""
"114","TTAPSGCP","Total average (capped) point score per pupil (GCSEs only)","","",""
"115","TTAPSGCPLO","Total average (capped) point score per pupil with low prior attainment (GCSEs only)","","",""
"116","TTAPSGCPAV","Total average (capped) point score per pupil with average prior attainment (GCSEs only)","","",""
"117","TTAPSGCPHI","Total average (capped) point score per pupil with high prior attainment (GCSEs only)","","",""
"118","NUMBOYS","Total boys on roll (including part-time pupils)","","",""
"119","NUMGIRLS","Total girls on roll (including part-time pupils)","","",""
"120","P15END4","Percentage of pupils at the end of Key Stage 4 aged 15","","",""
"121","P14END4","Percentage of pupils at the end of Key Stage 4 aged 14 or under","","",""
"122","TEALGRP1","Number of Key Stage 4 pupils with English as their first language","","",""
"123","PTEALGRP1","Percentage of Key Stage 4 pupils with English as their first language","","",""
"124","TEALGRP3","Number of Key Stage 4 pupils where first language is unclassified","","",""
"125","PTEALGRP3","Percentage of Key Stage 4 pupils where first language is unclassified","","",""
"126","SENST4","Number of Key Stage 4 pupils with SEN statements","Yes","",""
"127","PSENST4","Percentage of Key Stage 4 pupils with SEN statements","Yes","",""
"128","SENAP4","Number of Key Stage 4 pupils at school action plus","Yes","",""
"129","PSENAP4","Percentage of Key Stage 4 pupils at school action plus","Yes","",""
"130","BPUP","Number of boys at the end of Key Stage 4 ","","",""
"131","GPUP","Number of girls at the end of Key Stage 4","","",""
"132","PB14END4","Percentage of boys at the end of Key Stage 4 aged 14 or under","","",""
"133","PB15END4","Percentage of boys at the end of Key Stage 4 aged 15","","",""
"134","PG14END4","Percentage of girls at the end of Key Stage 4 aged 14 or under","","",""
"135","PG15END4","Percentage of girls at the end of Key Stage 4 aged 15","","",""
"136","TFSM24EngPrg","Number of disadvantaged pupils achieving expected progress beween Key Stage 2 and GCSE English ","","",""
"137","PTFSM24EngPrg","Percentage of disadvantaged pupils achieving expected progress beween Key Stage 2 and GCSE English ","","",""
"138","TFSM24MathPrg","Number of disadvantaged pupils achieving expected progress beween Key Stage 2 and GCSE Maths ","","",""
"139","PTFSM24MathPrg","Percentage of disadvantaged pupils achieving expected progress beween Key Stage 2 and GCSE Maths ","","",""
"140","TNOTFSM24EngPrg","Number of pupils not disadvantaged (non-FSM+CLA pupils) achieving expected progress beween Key Stage 2 and GCSE English ","","",""
"141","PTNOTFSM24EngPrg","Percentage of pupils not disadvantaged (non-FSM+CLA pupils) achieving expected progress beween Key Stage 2 and GCSE English ","","",""
"142","TNOTFSM24MathPrg","Number of pupils not disadvantaged (non-FSM+CLA pupils) achieving expected progress beween Key Stage 2 and GCSE Maths ","","",""
"143","PTNOTFSM24MathPrg","Percentage of pupils not disadvantaged (non-FSM+CLA pupils) achieving expected progress beween Key Stage 2 and GCSE Maths ","","",""
"144","TGAC5EM","Number of pupils achieving 5+ A*-C GCSEs (excluding equivalents) including A*-C in both English and Maths GCSE","","",""
"145","PTGAC5EM","Percentage of pupils achieving 5+ A*-C GCSEs (excluding equivalents) including A*-C in both English and Maths GCSE","","",""
"146","TAC5EMFSM","Number of disadvantaged pupils achieving 5+ A*-C or equivalents including A*-C in GCSE English and maths","","",""
"147","PTAC5EMFSM","Percentage of disadvantaged pupils achieving 5+ A*-C or equivalents including A*-C in GCSE English and maths","","",""
"148","TAC5EMNFSM","Number of pupils not disadvantaged (non-FSM+CLA pupils) achieving 5+ A*-C or equivalents including A*-C in GCSE English and maths","","",""
"149","PTAC5EMNFSM","Percentage of pupils not disadvantaged (non-FSM+CLA pupils) achieving 5+ A*-C or equivalents including A*-C in GCSE English and maths","","",""
"150","PTAC5","Percentage of pupils achieving 5+ A*-C or equivalents","","",""
"151","PTAG5","Percentage of pupils achieving 5+ A*-G or equivalents","","",""
"152","PTANYQ","Percentage of pupils achieving any qualifications","","",""
"153","TEBACC_ELO","Number of pupils with low prior attainment band with entries in all English Baccalaureate subject areas ","","",""
"154","PTEBACC_ELO","Percentage of pupils with low prior attainment with entries in all English Baccalaureate subject areas","","",""
"155","TEBACC_EAV","Number of pupils with middle prior attainment band with entries in all English Baccalaureate subject areas ","","",""
"156","PTEBACC_EAV","Percentage of pupils with middle prior attainment with entries in all English Baccalaureate subject areas","","",""
"157","TEBACC_EHI","Number of pupils with high prior attainment band with entries in all English Baccalaureate subject areas ","","",""
"158","PTEBACC_EHI","Percentage of pupils with high prior attainment with entries in all English Baccalaureate subject areas","","",""
"159","PTEBACC_EFSM","Percentage of disadvantaged pupils with entries in all English Baccalaureate subject areas ","","",""
"160","PTEBACC_ENFSM","Percentage of pupils not disadvantaged (non-FSM+CLA pupils) with entries in all English Baccalaureate subject areas ","","",""
"161","PTEBACCLO","Percentage of pupils with low prior attainment achieving the English Baccalaureate","","",""
"162","PTEBACCAV","Percentage of pupils with middle prior attainment achieving the English Baccalaureate","","",""
"163","PTEBACCHI","Percentage of pupils with high prior attainment achieving the English Baccalaureate","","",""
"164","PTEBACC_FSM","Percentage of disadvantaged pupils achieving the English Baccalaureate","","",""
"165","PTEBACC_NFSM","Percentage of pupils not disadvantaged (non-FSM+CLA pupils) achieving the English Baccalaureate","","",""
"166","TEBACCAG","Number of pupils achieving the English Baccalaureate at grades A*-G","","",""
"167","PTEBACCAG","Percentage of pupils achieving the English Baccalaureate at grades A*-G","","",""
"168","TEBACENG ","Number of pupils achieving the English Baccalaureate English subject area","","",""
"169","TEBACMAT ","Number of pupils achieving the English Baccalaureate Maths subject area","","",""
"170","TEBAC2SCI ","Number of pupils achieving the English Baccalaureate Science subject area","","",""
"171","TEBACHUM ","Number of pupils achieving the English Baccalaureate Humanities subject area","","",""
"172","TEBACLAN ","Number of pupils achieving the English Baccalaureate Language subject area","","",""
"173","TEBACENGAG","Number of pupils achieving the English Baccalaureate English subject area at grade A*-G","","",""
"174","PTEBACENGAG ","Percentage of pupils achieving the English Baccalaureate English subject area at grade A*-G","","",""
"175","TEBACMATAG ","Number of pupils achieving the English Baccalaureate Maths subject area at grade A*-G","","",""
"176","PTEBACMATAG ","Percentage of pupils achieving the English Baccalaureate Maths subject area at grade A*-G","","",""
"177","TEBAC2SCIAG ","Number of pupils achieving the English Baccalaureate Science subject area at grades A*-G","","",""
"178","PTEBAC2SCIAG ","Percentage of entered pupils achieving the English Baccalaureate Science subject area at grades A*-G","","",""
"179","TEBACHUMAG","Number of pupils achieving the English Baccalaureate Humanities subject area at grade A*-G","","",""
"180","PTEBACHUMAG ","Percentage of entered pupils achieving the English Baccalaureate Humanities subject area at grades A*-G","","",""
"181","TEBACLANAG ","Number of pupils achieving the English Baccalaureate Language subject area at grade A*-G","","",""
"182","PTEBACLANAG ","Percentage of entered pupils achieving the English Baccalaureate Language subject area at grade A*-G","","",""
"183","ENGVAMEA_LO","English Baccalaureate English Value Added measure for low prior attainment band","","Yes",""
"184","ENGVAMEA_AV","English Baccalaureate English Value Added measure for middle prior attainment band","","Yes",""
"185","ENGVAMEA_HI","English Baccalaureate English Value Added measure for high prior attainment band","","Yes",""
"186","ENGVAMEA_FSM","English Baccalaureate English Value Added measure for disadvantaged pupils","","Yes",""
"187","ENGVAMEA_NFSM","English Baccalaureate English Value Added measure for pupils who are not disadvantaged (non-FSM+CLA pupils)","","Yes",""
"188","MATVAMEA_LO","English Baccalaureate Maths Value Added measure for low prior attainment band","","Yes",""
"189","MATVAMEA_AV","English Baccalaureate Maths Value Added measure for middle prior attainment band","","Yes",""
"190","MATVAMEA_HI","English Baccalaureate Maths Value Added measure for high prior attainment band","","Yes",""
"191","MATVAMEA_FSM","English Baccalaureate Maths Value Added measure for disadvantaged pupils","","Yes",""
"192","MATVAMEA_NFSM","English Baccalaureate Maths Value Added measure for pupils who are not disadvantaged (non-FSM+CLA pupils)","","Yes",""
"193","SCIVAMEA_LO","English Baccalaureate Science Value Added measure for low prior attainment band","","Yes",""
"194","SCIVAMEA_AV","English Baccalaureate Science Value Added measure for middle prior attainment band","","Yes",""
"195","SCIVAMEA_HI","English Baccalaureate Science Value Added measure for high prior attainment band","","Yes",""
"196","SCIVAMEA_FSM","English Baccalaureate Science Value Added measure for disadvantaged pupils","","Yes",""
"197","SCIVAMEA_NFSM","English Baccalaureate Science Value Added measure for pupils who are not disadvantaged (non-FSM+CLA pupils)","","Yes",""
"198","HUMVAMEA_LO","English Baccalaureate Humanities Value Added measure for low prior attainment band","","Yes",""
"199","HUMVAMEA_AV","English Baccalaureate Humanities Value Added measure for middle prior attainment band","","Yes",""
"200","HUMVAMEA_HI","English Baccalaureate Humanities Value Added measure for high prior attainment band","","Yes",""
"201","HUMVAMEA_FSM","English Baccalaureate Humanities Value Added measure for disadvantaged pupils","","Yes",""
"202","HUMVAMEA_NFSM","English Baccalaureate Humanities Value Added measure for pupils who are not disadvantaged (non-FSM+CLA pupils)","","Yes",""
"203","LANVAMEA_LO","English Baccalaureate Languages Value Added measure for low prior attainment band","","Yes",""
"204","LANVAMEA_AV","English Baccalaureate Languages Value Added measure for middle prior attainment band","","Yes",""
"205","LANVAMEA_HI","English Baccalaureate Languages Value Added measure for high prior attainment band","","Yes",""
"206","LANVAMEA_FSM","English Baccalaureate Languages Value Added measure for disadvantaged pupils","","Yes",""
"207","LANVAMEA_NFSM","English Baccalaureate Languages Value Added measure for pupils who are not disadvantaged (non-FSM+CLA pupils)","","Yes",""
"208","PTFEML2","% of pupils achieving English and Maths Skills at Level 2 (C+ at GCSE, AS, Level 2 Key Skills, Basic Skills and Functional Skills in English and maths)","","",""
"209","PTFEML1","% of pupils achieving English and Maths skills at Level 1 (G+ at GCSE, AS, Level 1 Key Skills, Basic Skills and Functional Skills in English and maths)","","",""
"210","TBASICSLO","Number of pupils with low prior attainment who achieved A*-C GCSE in English and maths","","",""
"211","PTBASICSLO","Percentage of pupils with low prior attainment who achieved A*-C GCSE in English and maths","","",""
"212","TBASICSAV","Number of pupils with middle prior attainment who achieved A*-C GCSE in English and maths","","",""
"213","PTBASICSAV","Percentage of pupils with middle prior attainment who achieved A*-C GCSE in English and maths","","",""
"214","TBASICSHI","Number of pupils with high prior attainment who achieved A*-C GCSE in English and maths","","",""
"215","PTBASICSHI","Percentage of pupils with high prior attainment who achieved A*-C GCSE in English and maths","","",""
"216","B8VAMEA_FSM","Value Added measure based on the best 8 GCSE and equivalent results - disadvantaged pupils","","Yes",""
"217","B8VAMEA_NFSM","Value Added measure based on the best 8 GCSE and equivalent results - pupils who are not disadvantaged (non FSM+CLA pupils)","","Yes",""
"218","TTAPS","Total average point score per pupil","","",""
"219","TAVENT_EFSM","Average number of Key Stage 4 GCSE and equivalents entries per disadvantaged pupil","","",""
"220","TAVENT_ENFSM","Average number of Key Stage 4 GCSE and equivalents entries per pupil who is not disadvantaged (non-FSM+CLA pupil)","","",""
"221","TAVENT_GFSM","Average number of GCSE only entries per disadvantaged pupil","","",""
"222","TAVENT_GNFSM","Average number of GCSE only entries per pupil who is not disadvantaged (non-FSM+CLA pupil)","","",""
"223","TTAPSCPFSM","Average capped point score achieved by disadvantaged pupils","","",""
"224","TTAPSCPNFSM","Average capped point score achieved by pupils who are not disadvantaged (non FSM+CLA pupils)","","",""
"225","TTAPSGCPFSM","Average capped GCSE point score achieved by disadvantaged pupils","","",""
"226","TTAPSGCPNFSM","Average capped GCSE point score achieved by pupils who are not disadvantaged (non FSM+CLA pupils)","","",""
"227","TTAPSPEPP","Average points score per qualification entry per pupil (including equivalents)","","",""
"228","TTAPSPEPPFSM","Average points score per qualification entry per pupil (including equivalents) for disadvantaged pupils","","",""
"229","TTAPSPEPPNFSM","Average points score per qualification entry per pupil (including equivalents) for non-FSM+CLA pupils","","",""
"230","TTAPSPEPPLO","Average points score per qualification entry per pupil (including equivalents) for pupils with low prior attainment ","","",""
"231","TTAPSPEPPAV","Average points score per qualification entry per pupil (including equivalents) for pupils with middle prior attainment ","","",""
"232","TTAPSPEPPHI","Average points score per qualification entry per pupil (including equivalents) for pupils with high prior attainment ","","",""
"233","TTAPSGPEPP","Average points score per GCSE entry per pupil (excluding equivalents)","","",""
"234","TTAPSGPEPPFSM","Average points score per GCSE entry per pupil (excluding equivalents) for disadvantaged pupils","","",""
"235","TTAPSGPEPPNFSM","Average points score per GCSE entry per pupil (excluding equivalents) for pupils who are not disadvantaged (non-FSM+CLA pupils)","","",""
"236","TTAPSGPEPPLO","Average points score per GCSE entry per pupil (excluding equivalents) for pupils with low prior attainment ","","",""
"237","TTAPSGPEPPAV","Average points score per GCSE entry per pupil (excluding equivalents) for pupils with middle prior attainment ","","",""
"238","TTAPSGPEPPHI","Average points score per GCSE entry per pupil (excluding equivalents) for pupils with high prior attainment ","","",""
"239","B8VAUPP_FSM","Upper 95% confidence limit for Value Added measure based on best 8 GCSE and equivalent results - disadvantaged pupils","","Yes","Yes"
"240","B8VALOW_FSM","Lower 95% confidence limit for Value Added measure based on best 8 GCSE and equivalent results - disadvantaged pupils","","Yes","Yes"
"241","B8VAUPP_NFSM","Upper 95% confidence limit for Value Added measure based on best 8 GCSE and equivalent results - pupils who are not disadvantaged (non FSM+CLA pupils)","","Yes","Yes"
"242","B8VALOW_NFSM","Lower 95% confidence limit for Value Added measure based on best 8 GCSE and equivalent results - pupils who are not disadvantaged (non FSM+CLA pupils)","","Yes","Yes"
"243","B8VAUPP_LO","Upper 95% confidence limit for Value Added measure based on best 8 GCSE and equivalent results - low prior attainment band","","Yes","Yes"
"244","B8VALOW_LO","Lower 95% confidence limit for Value Added measure based on best 8 GCSE and equivalent results - low prior attainment band","","Yes","Yes"
"245","B8VAUPP_AV","Upper 95% confidence limit for Value Added measure based on best 8 GCSE and equivalent results - middle prior attainment band","","Yes","Yes"
"246","B8VALOW_AV","Lower 95% confidence limit for Value Added measure based on best 8 GCSE and equivalent results - middle prior attainment band","","Yes","Yes"
"247","B8VAUPP_HI","Upper 95% confidence limit for Value Added measure based on best 8 GCSE and equivalent results - high prior attainment band","","Yes","Yes"
"248","B8VALOW_HI","Lower 95% confidence limit for Value Added measure based on best 8 GCSE and equivalent results - high prior attainment band","","Yes","Yes"
"249","ENGVAUPP_FSM","English Baccalaureate English Value upper 95% confidence limit for disadvantaged pupils","","Yes","Yes"
"250","ENGVALOW_FSM","English Baccalaureate English Value lower 95% confidence limit for disadvantaged pupils","","Yes","Yes"
"251","ENGVAUPP_NFSM","English Baccalaureate English Value upper 95% confidence limit for pupils who are not disadvantaged (non FSM+CLA pupils)","","Yes","Yes"
"252","ENGVALOW_NFSM","English Baccalaureate English Value lower 95% confidence limit for pupils who are not disadvantaged (non FSM+CLA pupils)","","Yes","Yes"
"253","ENGVAUPP_LO","English Baccalaureate English Value upper 95% confidence limit for low prior attainment band","","Yes","Yes"
"254","ENGVALOW_LO","English Baccalaureate English Value lower 95% confidence limit for low prior attainment band","","Yes","Yes"
"255","ENGVAUPP_AV","English Baccalaureate English Value upper 95% confidence limit for middle prior attainment band","","Yes","Yes"
"256","ENGVALOW_AV","English Baccalaureate English Value lower 95% confidence limit for middle prior attainment band","","Yes","Yes"
"257","ENGVAUPP_HI","English Baccalaureate English Value upper 95% confidence limit for high prior attainment band","","Yes","Yes"
"258","ENGVALOW_HI","English Baccalaureate English Value Added lower 95% confidence limit for high prior attainment band","","Yes","Yes"
"259","MATVAUPP_FSM","English Baccalaureate Maths Value Added upper 95% confidence limit for disadvantaged pupils","","Yes","Yes"
"260","MATVALOW_FSM","English Baccalaureate Maths Value Added lower 95% confidence limit for disadvantaged pupils","","Yes","Yes"
"261","MATVAUPP_NFSM","English Baccalaureate Maths Value Added upper 95% confidence limit for pupils who are not disadvantaged (non FSM+CLA pupils)","","Yes","Yes"
"262","MATVALOW_NFSM","English Baccalaureate Maths Value Added lower 95% confidence limit for pupils who are not disadvantaged (non FSM+CLA pupils)","","Yes","Yes"
"263","MATVAUPP_LO","English Baccalaureate Maths Value Added upper 95% confidence limit for low prior attainment band","","Yes","Yes"
"264","MATVALOW_LO","English Baccalaureate Maths Value Added lower 95% confidence limit for low prior attainment band","","Yes","Yes"
"265","MATVAUPP_AV","English Baccalaureate Maths Value Added upper 95% confidence limit for middle prior attainment band","","Yes","Yes"
"266","MATVALOW_AV","English Baccalaureate Maths Value Added lower 95% confidence limit for middle prior attainment band","","Yes","Yes"
"267","MATVAUPP_HI","English Baccalaureate Maths Value Added upper 95% confidence limit for high prior attainment band","","Yes","Yes"
