"Column","Metafile heading","Metafile description","Null field for special schools","Null field for Local Authority","Null field for National (all schools) records","Null field for National (maintained schools) records"
"106","TAVENT_E","Average number of Key Stage 4 GCSE and equivalents entries per pupil","","","",""
"107","TAVENT_ELO","Average number of Key Stage 4 GCSE and equivalents entries per pupil for pupils with low prior attainment","","","Yes",""
"108","TAVENT_EAV","Average number of Key Stage 4 GCSE and equivalents entries per pupil for pupils with middle prior attainment","","","Yes",""
"109","TAVENT_EHI","Average number of Key Stage 4 GCSE and equivalents entries per pupil for pupils with high prior attainment","","","Yes",""
"110","TAVENT_G","Average number of GCSE only entries per pupil (see Abbreviations for definition of GCSE only)","","","",""
"111","TAVENT_GLO","Average number of GCSE only entries per pupil with low prior attainment (see Abbreviations for definition of GCSE only)","","","Yes",""
"112","TAVENT_GAV","Average number of GCSE only entries per pupil with middle prior attainment (see Abbreviations for definition of GCSE only)","","","Yes",""
"113","TAVENT_GHI","Average number of GCSE only entries per pupil with high prior attainment (see Abbreviations for definition of GCSE only)","","","Yes",""
"114","AVGRDPEPPLO","Average grade per qualification per pupil for pupils with low prior attainment","","Yes","Yes","Yes"
"115","AVGRDPEPPAV","Average grade per qualification per pupil for pupils with middle prior attainment","","Yes","Yes","Yes"
"116","AVGRDPEPPHI","Average grade per qualification per pupil for pupils with high prior attainment","","Yes","Yes","Yes"
"117","AVGRDGPEPPLO","Average grade per GCSE per pupil for pupils with low prior attainment","","Yes","Yes","Yes"
"118","AVGRDGPEPPAV","Average grade per GCSE per pupil for pupils with middle prior attainment","","Yes","Yes","Yes"
"119","AVGRDGPEPPHI","Average grade per GCSE per pupil for pupils with high prior attainment","","Yes","Yes","Yes"
"120","TTAPSCP","Total average (capped) point score per pupil","","","",""
"121","TTAPSCPLO","Average capped point score achieved by pupils with low prior attainment","","","Yes",""
"122","TTAPSCPAV","Average capped point score achieved by pupils with middle prior attainment","","","Yes",""
"123","TTAPSCPHI","Average capped point score achieved by pupils with high prior attainment","","","Yes",""
"124","TTAPSGCP","Total average (capped) point score per pupil (GCSEs only)","","","",""
"125","TTAPSGCPLO","Average capped GCSE point score achieved by pupils with low prior attainment","","","Yes",""
"126","TTAPSGCPAV","Average capped GCSE point score achieved by pupils with average prior attainment ","","","Yes",""
"127","TTAPSGCPHI","Average capped GCSE point score achieved by pupils with high prior attainment ","","","Yes",""
"128","NUMBOYS","Total boys on roll (including part-time pupils)","","","",""
"129","NUMGIRLS","Total girls on roll (including part-time pupils)","","","",""
"130","P15END4","Percentage of pupils at the end of Key Stage 4 aged 15","","","",""
"131","P14END4","Percentage of pupils at the end of Key Stage 4 aged 14 or under","","","",""
"132","TEALGRP1","Number of Key Stage 4 pupils with English as their first language","","","Yes",""
"133","PTEALGRP1","Percentage of Key Stage 4 pupils with English as their first language","","","Yes",""
"134","TEALGRP3","Number of Key Stage 4 pupils where first language is unclassified","","","Yes",""
"135","PTEALGRP3","Percentage of Key Stage 4 pupils where first language is unclassified","","","Yes",""
"136","SENST4","Number of Key Stage 4 pupils with SEN statements","Yes","","Yes",""
"137","PSENST4","Percentage of Key Stage 4 pupils with SEN statements","Yes","","Yes",""
"138","SENAP4","Number of Key Stage 4 pupils at school action plus","Yes","","Yes",""
"139","PSENAP4","Percentage of Key Stage 4 pupils at school action plus","Yes","","Yes",""
"140","BPUP","Number of boys at the end of Key Stage 4 ","","","",""
"141","GPUP","Number of girls at the end of Key Stage 4","","","",""
"142","PB14END4","Percentage of boys at the end of Key Stage 4 aged 14 or under","","","",""
"143","PB15END4","Percentage of boys at the end of Key Stage 4 aged 15","","","",""
"144","PG14END4","Percentage of girls at the end of Key Stage 4 aged 14 or under","","","",""
"145","PG15END4","Percentage of girls at the end of Key Stage 4 aged 15","","","",""
"146","TFSM24EngPrg","Number of disadvantaged pupils achieving expected progress beween Key Stage 2 and GCSE English ","","","Yes",""
"147","PTFSM24EngPrg","Percentage of disadvantaged pupils achieving expected progress beween Key Stage 2 and GCSE English ","","","Yes",""
"148","TFSM24MathPrg","Number of disadvantaged pupils achieving expected progress beween Key Stage 2 and GCSE mathematics","","","Yes",""
"149","PTFSM24MathPrg","Percentage of disadvantaged pupils achieving expected progress beween Key Stage 2 and GCSE mathematics ","","","Yes",""
"150","TNOTFSM24EngPrg","Number of non-disadvantaged pupils achieving expected progress beween Key Stage 2 and GCSE English ","","","Yes",""
"151","PTNOTFSM24EngPrg","Percentage of non-disadvantaged pupils achieving expected progress beween Key Stage 2 and GCSE English ","","","Yes",""
"152","TNOTFSM24MathPrg","Number of non-disadvantaged pupils achieving expected progress beween Key Stage 2 and GCSE mathematics","","","Yes",""
"153","PTNOTFSM24MathPrg","Percentage of non-disadvantaged pupils achieving expected progress beween Key Stage 2 and GCSE mathematics ","","","Yes",""
"154","TGAC5EM","Number of pupils achieving 5+ A*-C GCSEs (excluding equivalents) including A*-C in both English and mathematics GCSE","","","",""
"155","PTGAC5EM","Percentage of pupils achieving 5+ A*-C GCSEs (excluding equivalents) including A*-C in both English and mathematics GCSE","","","",""
"156","TAC5EMFSM","Number of disadvantaged pupils achieving 5+ A*-C or equivalents including A*-C in both English and mathematics GCSEs","","","Yes",""
"157","PTAC5EMFSM","Percentage of disadvantaged pupils achieving 5+ A*-C or equivalents including A*-C in both English and mathematics GCSEs","","","Yes",""
"158","TAC5EMNFSM","Number of non-disadvantaged pupils achieving 5+ A*-C or equivalents including A*-C in both English and mathematics GCSEs","","","Yes",""
"159","PTAC5EMNFSM","Percentage of non-disadvantaged pupils achieving 5+ A*-C or equivalents including A*-C in both English and mathematics GCSEs","","","Yes",""
"160","PTAC5","Percentage of pupils achieving 5+ A*-C or equivalents","","","",""
"161","PTAG5","Percentage of pupils achieving 5+ A*-G or equivalents","","","",""
"162","PTANYQ","Percentage of pupils achieving any qualifications","","","",""
"163","TEBACC_ELO","Number of pupils with low prior attainment band with entries in all English Baccalaureate subject areas ","","","Yes",""
"164","PTEBACC_ELO","Percentage of pupils with low prior attainment with entries in all English Baccalaureate subject areas","","","Yes",""
"165","TEBACC_EAV","Number of pupils with middle prior attainment band with entries in all English Baccalaureate subject areas ","","","Yes",""
"166","PTEBACC_EAV","Percentage of pupils with middle prior attainment with entries in all English Baccalaureate subject areas","","","Yes",""
"167","TEBACC_EHI","Number of pupils with high prior attainment band with entries in all English Baccalaureate subject areas ","","","Yes",""
"168","PTEBACC_EHI","Percentage of pupils with high prior attainment with entries in all English Baccalaureate subject areas","","","Yes",""
"169","PTEBACC_EFSM","Percentage of disadvantaged pupils with entries in all English Baccalaureate subject areas ","","","Yes",""
"170","PTEBACC_ENFSM","Percentage of non-disadvantaged pupils with entries in all English Baccalaureate subject areas ","","","Yes",""
"171","PTEBACCLO","Percentage of pupils with low prior attainment achieving the English Baccalaureate","","","Yes",""
"172","PTEBACCAV","Percentage of pupils with middle prior attainment achieving the English Baccalaureate","","","Yes",""
"173","PTEBACCHI","Percentage of pupils with high prior attainment achieving the English Baccalaureate","","","Yes",""
"174","PTEBACC_FSM","Percentage of disadvantaged pupils achieving the English Baccalaureate","","","Yes",""
"175","PTEBACC_NFSM","Percentage of non-disadvantaged pupils achieving the English Baccalaureate","","","Yes",""
"176","TEBACCAG","Number of pupils achieving the English Baccalaureate at grades A*-G","","","",""
"177","PTEBACCAG","Percentage of pupils achieving the English Baccalaureate at grades A*-G","","","",""
"178","TEBACENG ","Number of pupils achieving the English Baccalaureate English subject area","","","",""
"179","TEBACMAT ","Number of pupils achieving the English Baccalaureate Maths subject area","","","",""
"180","TEBAC2SCI ","Number of pupils achieving the English Baccalaureate Science subject area","","","",""
"181","TEBACHUM ","Number of pupils achieving the English Baccalaureate Humanities subject area","","","",""
"182","TEBACLAN ","Number of pupils achieving the English Baccalaureate Language subject area","","","",""
"183","TEBACENGAG","Number of pupils achieving the English Baccalaureate English subject area at grade A*-G","","","",""
"184","PTEBACENGAG ","Percentage of pupils achieving the English Baccalaureate English subject area at grade A*-G","","","",""
"185","TEBACMATAG ","Number of pupils achieving the English Baccalaureate Maths subject area at grade A*-G","","","",""
"186","PTEBACMATAG ","Percentage of pupils achieving the English Baccalaureate Maths subject area at grade A*-G","","","",""
"187","TEBAC2SCIAG ","Number of pupils achieving the English Baccalaureate Science subject area at grades A*-G","","","",""
"188","PTEBAC2SCIAG ","Percentage of entered pupils achieving the English Baccalaureate Science subject area at grades A*-G","","","",""
"189","TEBACHUMAG","Number of pupils achieving the English Baccalaureate Humanities subject area at grade A*-G","","","",""
"190","PTEBACHUMAG ","Percentage of entered pupils achieving the English Baccalaureate Humanities subject area at grades A*-G","","","",""
"191","TEBACLANAG ","Number of pupils achieving the English Baccalaureate Language subject area at grade A*-G","","","",""
"192","PTEBACLANAG ","Percentage of entered pupils achieving the English Baccalaureate Language subject area at grade A*-G","","","",""
"193","ENGVAMEA_LO","English Baccalaureate English Value Added measure for pupils with low prior attainment","","Yes","Yes",""
"194","ENGVAMEA_AV","English Baccalaureate English Value Added measure for pupils with middle prior attainment","","Yes","Yes",""
"195","ENGVAMEA_HI","English Baccalaureate English Value Added measure for pupils with high prior attainment ","","Yes","Yes",""
"196","ENGVAMEA_FSM","English Baccalaureate English Value Added measure for disadvantaged pupils","","Yes","Yes",""
"197","ENGVAMEA_NFSM","English Baccalaureate English Value Added measure for non-disadvantaged pupils","","Yes","Yes",""
"198","MATVAMEA_LO","English Baccalaureate Maths Value Added measure for pupils with low prior attainment","","Yes","Yes",""
"199","MATVAMEA_AV","English Baccalaureate Maths Value Added measure for pupils with middle prior attainment","","Yes","Yes",""
"200","MATVAMEA_HI","English Baccalaureate Maths Value Added measure for pupils with high prior attainment ","","Yes","Yes",""
"201","MATVAMEA_FSM","English Baccalaureate Maths Value Added measure for disadvantaged pupils","","Yes","Yes",""
"202","MATVAMEA_NFSM","English Baccalaureate Maths Value Added measure for non-disadvantaged pupils","","Yes","Yes",""
"203","SCIVAMEA_LO","English Baccalaureate Science Value Added measure for pupils with low prior attainment","","Yes","Yes",""
"204","SCIVAMEA_AV","English Baccalaureate Science Value Added measure for pupils with middle prior attainment","","Yes","Yes",""
"205","SCIVAMEA_HI","English Baccalaureate Science Value Added measure for pupils with high prior attainment ","","Yes","Yes",""
"206","SCIVAMEA_FSM","English Baccalaureate Science Value Added measure for disadvantaged pupils","","Yes","Yes",""
"207","SCIVAMEA_NFSM","English Baccalaureate Science Value Added measure for non-disadvantaged pupils","","Yes","Yes",""
"208","HUMVAMEA_LO","English Baccalaureate Humanities Value Added measure for pupils with low prior attainment","","Yes","Yes",""
"209","HUMVAMEA_AV","English Baccalaureate Humanities Value Added measure for pupils with middle prior attainment","","Yes","Yes",""
"210","HUMVAMEA_HI","English Baccalaureate Humanities Value Added measure for pupils with high prior attainment ","","Yes","Yes",""
"211","HUMVAMEA_FSM","English Baccalaureate Humanities Value Added measure for disadvantaged pupils","","Yes","Yes",""
"212","HUMVAMEA_NFSM","English Baccalaureate Humanities Value Added measure for non-disadvantaged pupils","","Yes","Yes",""
"213","LANVAMEA_LO","English Baccalaureate Languages Value Added measure for pupils with low prior attainment","","Yes","Yes",""
"214","LANVAMEA_AV","English Baccalaureate Languages Value Added measure for pupils with middle prior attainment","","Yes","Yes",""
"215","LANVAMEA_HI","English Baccalaureate Languages Value Added measure for pupils with high prior attainment ","","Yes","Yes",""
"216","LANVAMEA_FSM","English Baccalaureate Languages Value Added measure for disadvantaged pupils","","Yes","Yes",""
"217","LANVAMEA_NFSM","English Baccalaureate Languages Value Added measure for non-disadvantaged pupils","","Yes","Yes",""
"218","PTFEML2","% of pupils achieving English and Maths Skills at Level 2 (C+ at GCSE, AS, Level 2 Key Skills, Basic Skills and Functional Skills in English and maths)","","","",""
"219","PTFEML1","% of pupils achieving English and Maths skills at Level 1 (G+ at GCSE, AS, Level 1 Key Skills, Basic Skills and Functional Skills in English and maths)","","","",""
"220","TBASICSLO","Number of pupils with low prior attainment who achieved grades A*-C in both English and mathematics GCSEs","","","Yes",""
"221","PTBASICSLO","Percentage of pupils with low prior attainment who achieved grades A*-C in both English and mathematics GCSEs","","","Yes",""
"222","TBASICSAV","Number of pupils with middle prior attainment who achieved grades A*-C in both English and mathematics GCSEs","","","Yes",""
"223","PTBASICSAV","Percentage of pupils with middle prior attainment who achieved grades A*-C in both English and mathematics GCSEs","","","Yes",""
"224","TBASICSHI","Number of pupils with high prior attainment who achieved grades A*-C in both English and mathematics GCSEs","","","Yes",""
"225","PTBASICSHI","Percentage of pupils with high prior attainment who achieved grades A*-C in both English and mathematics GCSEs","","","Yes",""
"226","B8VAMEA_FSM","Value Added measure based on the best 8 GCSE and equivalent results for disadvantaged pupils","","Yes","Yes",""
"227","B8VAMEA_NFSM","Value Added measure based on the best 8 GCSE and equivalent results for non-disadvantaged pupils","","Yes","Yes",""
"228","TTAPS","Total average point score per pupil","","","",""
"229","TAVENT_EFSM","Average number of Key Stage 4 GCSE and equivalents entries per disadvantaged pupil","","","Yes",""
"230","TAVENT_ENFSM","Average number of Key Stage 4 GCSE and equivalents entries per non-disadvantaged pupil ","","","Yes",""
"231","TAVENT_GFSM","Average number of GCSE only entries per disadvantaged pupil","","","Yes",""
"232","TAVENT_GNFSM","Average number of GCSE only entries per non-disadvantaged pupil ","","","Yes",""
"233","TTAPSCPFSM","Average capped point score achieved by disadvantaged pupils","","","Yes",""
"234","TTAPSCPNFSM","Average capped point score achieved by non-disadvantaged pupils","","","Yes",""
"235","TTAPSGCPFSM","Average capped GCSE point score achieved by disadvantaged pupils","","","Yes",""
"236","TTAPSGCPNFSM","Average capped GCSE point score achieved by non-disadvantaged pupils","","","Yes",""
"237","TTAPSPEPP","Average points score per qualification entry per pupil (including equivalents)","","","",""
"238","TTAPSPEPPFSM","Average points score per qualification entry per pupil (including equivalents) for disadvantaged pupils","","","Yes",""
"239","TTAPSPEPPNFSM","Average points score per qualification entry per pupil (including equivalents) for non-disadvantaged pupils","","","Yes",""
"240","TTAPSPEPPLO","Average points score per qualification entry per pupil (including equivalents) for pupils with low prior attainment ","","","Yes",""
"241","TTAPSPEPPAV","Average points score per qualification entry per pupil (including equivalents) for pupils with middle prior attainment ","","","Yes",""
"242","TTAPSPEPPHI","Average points score per qualification entry per pupil (including equivalents) for pupils with high prior attainment ","","","Yes",""
"243","TTAPSGPEPP","Average points score per GCSE entry per pupil (excluding equivalents)","","","",""
"244","TTAPSGPEPPFSM","Average points score per GCSE entry per pupil (excluding equivalents) for disadvantaged pupils","","","Yes",""
"245","TTAPSGPEPPNFSM","Average points score per GCSE entry per pupil (excluding equivalents) for non-disadvantaged pupils","","","Yes",""
"246","TTAPSGPEPPLO","Average points score per GCSE entry per pupil (excluding equivalents) for pupils with low prior attainment ","","","Yes",""
"247","TTAPSGPEPPAV","Average points score per GCSE entry per pupil (excluding equivalents) for pupils with middle prior attainment ","","","Yes",""
"248","TTAPSGPEPPHI","Average points score per GCSE entry per pupil (excluding equivalents) for pupils with high prior attainment ","","","Yes",""
"249","B8VAUPP_FSM","Upper 95% confidence limit for Value Added measure based on best 8 GCSE and equivalent results for disadvantaged pupils","","Yes","Yes","Yes"
"250","B8VALOW_FSM","Lower 95% confidence limit for Value Added measure based on best 8 GCSE and equivalent results for disadvantaged pupils","","Yes","Yes","Yes"
"251","B8VAUPP_NFSM","Upper 95% confidence limit for Value Added measure based on best 8 GCSE and equivalent results for non-disadvantaged pupils","","Yes","Yes","Yes"
"252","B8VALOW_NFSM","Lower 95% confidence limit for Value Added measure based on best 8 GCSE and equivalent results for non-disadvantaged pupils ","","Yes","Yes","Yes"
"253","B8VAUPP_LO","Upper 95% confidence limit for Value Added measure based on best 8 GCSE and equivalent results for pupils with low prior attainment","","Yes","Yes","Yes"
"254","B8VALOW_LO","Lower 95% confidence limit for Value Added measure based on best 8 GCSE and equivalent results for pupils with low prior attainment","","Yes","Yes","Yes"
"255","B8VAUPP_AV","Upper 95% confidence limit for Value Added measure based on best 8 GCSE and equivalent results for pupils with middle prior attainment","","Yes","Yes","Yes"
"256","B8VALOW_AV","Lower 95% confidence limit for Value Added measure based on best 8 GCSE and equivalent results for pupils with middle prior attainment ","","Yes","Yes","Yes"
"257","B8VAUPP_HI","Upper 95% confidence limit for Value Added measure based on best 8 GCSE and equivalent results for pupils with high prior attainment","","Yes","Yes","Yes"
"258","B8VALOW_HI","Lower 95% confidence limit for Value Added measure based on best 8 GCSE and equivalent results for pupils with high prior attainment","","Yes","Yes","Yes"
"259","ENGVAUPP_FSM","Upper 95% confidence limit for English Baccalaureate English Value Added measure for disadvantaged pupils","","Yes","Yes","Yes"
"260","ENGVALOW_FSM","Lower 95% confidence limit for English Baccalaureate English Value Added measure for disadvantaged pupils","","Yes","Yes","Yes"
"261","ENGVAUPP_NFSM","Upper 95% confidence limit for English Baccalaureate English Value Added measure for non-disadvantaged pupils","","Yes","Yes","Yes"
"262","ENGVALOW_NFSM","Lower 95% confidence limit for English Baccalaureate English Value Added measure for non-disadvantaged pupils","","Yes","Yes","Yes"
"263","ENGVAUPP_LO","Upper 95% confidence limit for English Baccalaureate English Value Added measure for pupils with low prior attainment","","Yes","Yes","Yes"
"264","ENGVALOW_LO","Lower 95% confidence limit for English Baccalaureate English Value Added measure for pupils with low prior attainment","","Yes","Yes","Yes"
"265","ENGVAUPP_AV","Upper 95% confidence limit for English Baccalaureate English Value Added measure for pupils with middle prior attainment","","Yes","Yes","Yes"
