"Column","Field Name ","Label/Description"
"131","PT2Eng12_FSMCLA11","Percentage of disadvantaged pupils making at least 2 levels of progress in English in 2011 (using 2012 FSM definition)"
"132","PT2Eng12_NOTFSMCLA11","Percentage of pupils not disadvantaged (not FSM or CLA) making at least 2 levels of progress in English in 2011 (using 2012 FSM definition)"
"133","PT2Math12_FSMCLA11","Percentage of disadvantaged pupils making at least 2 levels of progress in mathematics in 2011 (using 2012 FSM definition)"
"134","PT2Math12_NOTFSMCLA11","Percentage of pupils not disadvantaged (not FSM or CLA) making at least 2 levels of progress in mathematics in 2011 (using 2012 FSM definition)"
"135","TEALGRP1","Number of eligible pupils with English as first language"
"136","PTEALGRP1","Percentage of eligible pupils with English as first language"
"137","TEALGRP3","Number of eligible pupils with unclassified language"
"138","PTEALGRP3","Percentage of eligible pupils with unclassified language"
"139","TSENELST","Number of eligible pupils with SEN (Special Educational Needs) statements"
"140","PSENELST","Percentage of eligible pupils with SEN (Special Educational Needs) statements"
"141","TSENELSAP","Number of eligible pupils with School Action Plus"
"142","PSENELSAP","Percentage of eligible pupils with School Action Plus"
"143","SENELN","Number of eligible pupils with SEN (Special Educational Needs) supported at School Action"
"144","PSENELN","Percentage of eligible pupils with SEN (Special Educational Needs) supported at School Action"
"145","PT2Eng12_FSMCLA","Percentage of disadvantaged pupils making at least 2 levels of progress in English"
"146","PT2Eng12_NOTFSMCLA","Percentage of pupils not disadvantaged (not FSM or CLA) making at least 2 levels of progress in English"
"147","PT2Math12_FSMCLA","Percentage of disadvantaged pupils making at least 2 levels of progress in mathematics"
"148","PT2Math12_NOTFSMCLA","Percentage of pupils not disadvantaged (not FSM or CLA) making at least 2 levels of progress in mathematics"
"149","PTREADX","Percentage of eligible pupils achieving level 4 or above in reading "
"150","PTREADAX","Percentage of eligible pupils achieving level 5 or above in reading"
"151","PTREADBX","Percentage of eligible pupils achieving level 3 or below in reading"
"152","EMVAMEAS","English and mathematics value added measure (after shrinkage)"
"153","EMLCONF","English and mathematics Value Added lower 95% confidence limit"
"154","EMUCONF","English and mathematics Value Added upper 95% confidence limit"
"155","VACOV","Coverage indicator - Percentage of pupils included in Value Added calculation"
"156","EVAMEAS","English Value Added measure (after shrinkage)"
"157","ELCONF","English Value Added lower 95% confidence limit"
"158","EUCONF","English Value Added upper 95% confidence limit"
"159","MVAMEAS","Mathematics Value Added measure (after shrinkage)"
"160","MLCONF","Mathematics Value Added lower 95% confidence limit "
"161","MUCONF","Mathematics Value Added upper 95% confidence limit"
"162","EMVAMEAS_L","English and mathematics Value Added measure: low Key Stage 1 attainment group"
"163","EMLCONF_L","English and mathematics Value Added lower 95% confidence limit: low Key Stage 1 attainment group"
"164","EMUCONF_L","English and mathematics Value Added upper 95% confidence limit: low Key Stage 1 attainment group"
"165","EMVAMEAS_M","English and mathematics Value Added measure: middle Key Stage 1 attainment group"
"166","EMLCONF_M","English and mathematics Value Added lower 95% confidence limit: middle Key Stage 1 attainment group"
"167","EMUCONF_M","English and mathematics Value Added upper 95% confidence limit: middle Key Stage 1 attainment group"
"168","EMVAMEAS_H","English and mathematics Value Added measure: high Key Stage 1 attainment group"
"169","EMLCONF_H","English and mathematics Value Added lower 95% confidence limit: high Key Stage 1 attainment group"
"170","EMUCONF_H","English and mathematics Value Added upper 95% confidence limit: high Key Stage 1 attainment group"
"171","EMVAMEAS_FSMCLA","English and mathematics Value Added measure: disadvantaged pupils"
"172","EMLCONF_FSMCLA","English and mathematics Value Added lower 95% confidence limit: disadvantaged pupils"
"173","EMUCONF_FSMCLA","English and mathematics Value Added upper 95% confidence limit: disadvantaged pupils"
"174","EMVAMEAS_NONFSMCLA","English and mathematics Value Added measure: pupils who are not disadvantaged (not FSM or CLA)"
"175","EMLCONF_NONFSMCLA","English and mathematics Value Added lower 95% confidence limit: pupils who are not disadvantaged (not FSM or CLA)"
"176","EMUCONF_NONFSMCLA","English and mathematics Value Added upper 95% confidence limit: pupils who are not disadvantaged (not FSM or CLA) "
