"Column","Field Name ","Label/Description"
"144","OVAMEAS_M","Overall value added measure: M"
"145","OLCONF_M","Overall value added lower 95% confidence limit: M"
"146","OUCONF_M","Overall value added upper 95% confidence limit: M"
"147","OVAMEAS_H","Overall value added measure: H"
"148","OLCONF_H","Overall value added lower 95% confidence limit: H"
"149","OUCONF_H","Overall value added upper 95% confidence limit: H"
"150","OVAMEAS_FSMCLA","Overall value added measure: disadvantaged"
"151","OLCONF_FSMCLA","Overall value added lower 95% confidence limit: disadvantaged"
"152","OUCONF_FSMCLA","Overall value added upper 95% confidence limit: disadvantaged"
"153","OVAMEAS_NotFSMCLA","Overall value added measure: not disadvantaged"
"154","OLCONF_NotFSMCLA","Overall value added lower 95% confidence limit: not disadvantaged"
"155","OUCONF_NotFSMCLA","Overall value added upper 95% confidence limit: not disadvantaged"
"156","PTMATX","% pupils achieving level 4 or above in maths test"
"157","PTMAT4B","% pupils achieved level 4B or above in maths test"
"158","PTMATAX","% pupils achieving level 5 or above in maths test"
"159","PTMAT6","% pupils achieving level 6 in maths test"
"160","PTMATBX","% pupils achieving level 3 or below in maths test"
"161","PTMATAT","% pupils absent from or not able to access the test in maths"
"162","PTREADX ","% eligible pupils achieving level 4 or above in reading test "
"163","PTREAD4B","% pupils achieved level 4B or above in reading test"
"164","PTREADAX ","% eligible pupils achieving level 5 or above in reading test"
"165","PTREAD6","% eligible pupils achieving level 6 in reading test"
"166","PTREADBX ","% eligible pupils achieving level 3 or below in reading test"
"167","PTREADAT","% pupils absent from or not able to access the tests in reading (A/T)"
"168","PTGPSX","% pupils achieving level 4 or above in GPS test"
"169","PTGPS4B","% of pupils achieving level 4B or above in GPS test"
"170","PTGPSAX","% pupils achieving level 5 or above in GPS test"
"171","PTGPS6","% pupils achieving level 6 in GPS test"
"172","PTGPSBX","% pupils achieving level 3 or below in GPS test"
"173","PTGPSAT","% pupils absent from or not able to access the tests in GPS"
"174","PTENGXTA","% pupils achieving level 4 or above in English TA"
"175","PTENGAXTA","% pupils achieving level 5 or above in English TA"
"176","PTENG6TA","% pupils achieving level 6 above in English TA"
"177","PTENGBXTA","% pupils achieving level 3 or below in English TA"
"178","PTENGADTA","% pupils absent or disapplied in English TA"
"179","PTMATXTA","% pupils achieving level 4 or above in maths TA"
"180","PTMATAXTA","% pupils achieving level 5 or above in maths TA"
"181","PTMAT6TA","% pupils achieving level 6 in maths TA"
"182","PTMATBXTA","% pupils achieving level 3 or below in maths TA"
"183","PTMATADTA","% pupils absent or disapplied in maths TA"
"184","PTSCIXTA","% pupils achieving level 4 or above in science TA"
"185","PTSCIAXTA","% pupils achieving level 5 or above in science TA"
"186","PTSCI6TA","% pupils achieving level 6 in science TA"
"187","PTSCIBXTA","% pupils achieving level 3 or below in science TA"
"188","PTSCIADTA","% pupils absent or disapplied in Science TA"
"189","PTREADXTA","% pupils achieving level 4 or above in reading TA"
"190","PTREADAXTA","% pupils achieving level 5 or above in reading TA"
"191","PTREAD6TA","% pupils achieving level 6 in reading TA"
"192","PTREADBXTA","% pupils achieving level 3 or below in reading TA"
"193","PTREADADTA","% pupils absent or disapplied in reading TA"
"194","PTWRITXTA","% pupils achieving level 4 or above in writing TA"
"195","PTWRITAXTA","% pupils achieving level 5 or above in writing TA"
"196","PTWRIT6TA","% pupils achieving level 6 in writing TA"
"197","PTWRITBXTA","% pupils achieving level 3 or below in writing TA"
"198","PTWRITADTA","% pupils absent or disapplied in writing TA"
"199","MVAMEAS","Maths value added measure"
"200","MLCONF","Maths value added lower 95% confidence limit "
"201","MUCONF","Maths value added upper 95% confidence limit"
"202","RVAMEAS","Reading value added measure"
"203","RLCONF","Reading value added lower 95% confidence limit"
"204","RUCONF","Reading value added upper 95% confidence limit"
"205","WVAMEAS","Writing TA value added measure"
"206","WLCONF","Writing TA value added lower 95% confidence limit"
"207","WUCONF","Writing TA value added upper 95% confidence limit"
"208","PTMATX_L","% of pupils achieving level 4+ in maths: L KS1 group"
"209","PTMATX_M","% of pupils achieving level 4+ in maths: M KS1 group"
"210","PTMATX_H","% of pupils achieving level 4+ in maths: H KS1 group"
"211","PTMATX_FSMCLA","% of pupils achieving level 4+ in maths: disadvantaged"
"212","PTMATX_NotFSMCLA","% of pupils achieving level 4+ in maths: not disadvantaged"
"213","PTMAT4B_L","% of pupils achieving level 4B+ in maths: L KS1 group"
"214","PTMAT4B_M","% of pupils achieving level 4B+ in maths: M KS1 group"
"215","PTMAT4B_H","% of pupils achieving level 4B+ in maths: H KS1 group"
"216","PTMAT4B_FSMCLA","% of pupils achieving level 4B+ in maths: disadvantaged"
"217","PTMAT4B_NotFSMCLA","% of pupils achieving level 4B+ in maths: not disadvantaged"
"218","PTREADX_L","% of pupils achieving level 4+ in reading: L KS1 group"
"219","PTREADX_M","% of pupils achieving level 4+ in reading: M KS1 group"
"220","PTREADX_H","% of pupils achieving level 4+ in reading: H KS1 group"
"221","PTREADX_FSMCLA","% of pupils achieving level 4+ in reading: disadvantaged"
"222","PTREADX_NotFSMCLA","% of pupils achieving level 4+ in reading: not disadvantaged"
"223","PTREAD4B_L","% of pupils achieving level 4B+ in reading: L KS1 group"
"224","PTREAD4B_M","% of pupils achieving level 4B+ in reading: M KS1 group"
"225","PTREAD4B_H","% of pupils achieving level 4B+ in reading: H KS1 group"
"226","PTREAD4B_FSMCLA","% of pupils achieving level 4B+ in reading: disadvantaged"
"227","PTREAD4B_NotFSMCLA","% of pupils achieving level 4B+ in reading: not disadvantaged"
"228","PTGPSX_L","% of pupils achieving level 4+ in GPS: L KS1 group"
"229","PTGPSX_M","% of pupils achieving level 4+ in GPS: M KS1 group"
"230","PTGPSX_H","% of pupils achieving level 4+ in GPS: H KS1 group"
"231","PTGPSX_FSMCLA","% of pupils achieving level 4+ in GPS: disadvantaged"
"232","PTGPSX_NotFSMCLA","% of pupils achieving level 4+ in GPS: not disadvantaged"
"233","PTGPS4B_L","% of pupils achieving level 4B+ in GPS: L KS1 group"
"234","PTGPS4B_M","% of pupils achieving level 4B+ in GPS: M KS1 group"
"235","PTGPS4B_H","% of pupils achieving level 4B+ in GPS: H KS1 group"
"236","PTGPS4B_FSMCLA","% of pupils achieving level 4B+ in GPS: disadvantaged"
"237","PTGPS4B_NotFSMCLA","% of pupils achieving level 4B+ in GPS: not disadvantaged"
"238","PTWRITXTA_L","% of pupils achieving level 4+ in writing TA: L KS1 group"
"239","PTWRITXTA_M","% of pupils achieving level 4+ in writing TA: M KS1 group"
"240","PTWRITXTA_H","% of pupils achieving level 4+ in writing TA: H KS1 group"
"241","PTWRITXTA_FSMCLA","% of pupils achieving level 4+ in writing TA: disadvantaged"
"242","PTWRITXTA_NotFSMCLA","% of pupils achieving level 4+ in writing TA: not disadvantaged"
"243","PTREADWRITTAMATX12","% pupils achieving level 4 or above in reading and maths test and writing TA: 2012"
"244","PTREADWRITTAMATAX12","% pupils achieving level 5 or above in reading and maths test and writing TA: 2012"
"245","PTREADWRITTAMATX13","% pupils achieving level 4 or above in reading and maths test and writing TA: 2013"
"246","PTREADWRITTAMATAX13","% pupils achieving level 5 or above in reading and maths test and writing TA: 2013"
"247","TFSMCLA11","Number of key stage 2 disadvantaged pupils (those who were eligible for free school meals in last 6 years or are looked after by the LA) in 2011"
"248","PTFSMCLA11","% key stage 2 disadvantaged in 2011"
"249","TNotFSMCLA11","Number of key stage 2 pupils who are not disadvantaged in 2011"
"250","PTNotFSMCLA11","% key stage 2 pupils who are not in 2011"
"251","TFSMCLA12","Number of key stage 2 disadvantaged pupils (those who were eligible for free school meals in last 6 years or are looked after by the LA) in 2012"
"252","PTFSMCLA12","% key stage 2 disadvantaged in 2012"
"253","TNotFSMCLA12","Number of key stage 2 pupils who are not disadvantaged in 2012"
"254","PTNotFSMCLA12","% key stage 2 pupils who are not disadvantage in 2012"
"255","PTREADWRITTAMATX_FSMCLA12","% pupils achieving level 4 or above in reading and maths test and writing TA: disadvantaged 2012"
"256","PTREADWRITTAMATX_NotFSMCLA12","% pupils achieving level 4 or above in reading and maths test and writing TA: not disadvantaged 2012"
"257","PTREADWRITTAMATAX_FSMCLA12","% pupils achieving level 5 or above in reading and maths test and writing TA: disadvantaged 2012"
"258","PTREADWRITTAMATAX_NotFSMCLA12","% pupils achieving level 5 or above in reading and maths test and writing TA: not disadvantaged 2012"
"259","PT2Math12_FSMCLA_11","% disadvantaged pupils making at least 2 levels of progress in maths 2011"
"260","PT2Math12_NotFSMCLA_11","% pupils not disadvantaged making at least 2 levels of progress in maths 2011"
"261","PT2Math12_FSMCLA_12","% disadvantaged pupils making at least 2 levels of progress in maths 2012"
"262","PT2Math12_NotFSMCLA_12","% pupils not disadvantaged making at least 2 levels of progress in maths 2012"
"263","PT2Read12_FSMCLA_12","% disadvantaged pupils making at least 2 levels of progress in reading 2012"
"264","PT2Read12_NotFSMCLA_12","% pupils not disadvantaged making at least 2 levels of progress in reading 2012"
"265","PT2WritTA12_FSMCLA_12","% disadvantaged pupils making at least 2 levels of progress in writing 2012"
"266","PT2WritTA12_NotFSMCLA_12","% pupils not disadvantaged making at least 2 levels of progress in writing 2012"
"267","TEALGRP1","Number of eligible pupils with English as first language"
"268","PTEALGRP1","% eligible pupils with English as first language"
"269","TEALGRP3","Number of eligible pupils with unclassified language"
"270","PTEALGRP3","% eligible pupils with unclassified language"
"271","TSENELST","Number of eligible pupils with SEN (Special Educational Needs) statements"
"272","PSENELST","% eligible pupils with SEN (Special Educational Needs) statements"
"273","TSENELSAP","Number of eligible pupils with School Action Plus"
"274","PSENELSAP","% eligible pupils with School Action Plus"
"275","SENELN","Number of eligible pupils with SEN (Special Educational Needs) supported at School Action"
"276","PSENELN","% eligible pupils with SEN (Special Educational Needs) supported at School Action"
"277","ProgMaths_3Yr","% making at least 2 levels of progress in maths - 3 yr average"
"278","ProgMaths_3Yr_FSMCLA","% disadvantaged pupils making at least 2 levels of progress in maths - 3 yr average"
"279","ProgMaths_3Yr_NotFSMCLA","% pupils not disadvantaged making at least 2 levels of progress in maths - 3 yr average"
"280","ProgRead_2Yr","% making at least 2 levels of progress in reading - 2 yr average"
"281","ProgRead_2Yr_FSMCLA","% disadvantaged pupils making at least 2 levels of progress in reading - 2 yr average"
"282","ProgRead_2Yr_NotFSMCLA","% pupils not disadvantaged making at least 2 levels of progress in reading - 2 yr average"
"283","ProgWritTA_2Yr","% making at least 2 levels of progress in reading - 2 yr average"
"284","ProgWritTA_2Yr_FSMCLA","% disadvantaged pupils making at least 2 levels of progress in reading - 2 yr average"
"285","ProgWritTA_2Yr_NotFSMCLA","% pupils not disadvantaged making at least 2 levels of progress in reading - 2 yr average"
"286","PReadWritTAMatX_3Yr","% pupils achieving level 4 or above in reading and maths tests and writing TA - 3 yr average"
"287","PReadWritTAMatX_3Yr_FSMCLA","% disadvantaged pupils achieving level 4 or above in reading and maths tests and writing TA - 3 yr average"
"288","PReadWritTAMatX_3Yr_NotFSMCLA","% pupils not disadvantaged achieving level 4 or above in reading and maths tests and writing TA - 3 yr average"
"289","GAP_3YR_RWMX","Gap between % achieving level 4 or above in reading, writing TA and maths for disadvantaged pupils and others - 3 yr average"
"290","GAP_2YR_PRREAD","Gap between % making expected progress in reading for disadvantaged pupils and others - 2 yr average"
"291","GAP_2YR_PRWRIT","Gap between % making expected progress in writing for disadvantaged pupils and others - 2 yr average"
"292","GAP_3YR_PRMAT","Gap between % making expected progress in maths for disadvantaged pupils and others - 3yr average"
"293","GAPN_3YR_RWMX_FSMCLA","Gap between school and national % achieving level 4 or above in reading, writing TA and maths for disadvantaged pupils - 3 yr average"
"294","GAPN_2YR_PRREAD_FSMCLA","Gap between school and national % making expected progress in reading for disadvantaged pupils - 2 yr average"
"295","GAPN_2YR_PRWRIT_FSMCLA","Gap between school and national % making expected progress in writing for disadvantaged pupils - 2 yr average"
"296","GAPN_3YR_PRMAT_FSMCLA","Gap between school and national % making expected progress in maths for disadvantaged pupils - 3 yr average"
"297","GAPN_3YR_RWMX_NotFSMCLA","Gap between school and national % achieving level 4 or above in reading, writing TA and maths for other pupils - 3 yr average"
"298","GAPN_2YR_PRREAD_NotFSMCLA","Gap between school and national % making expected progress in reading for other pupils - 2 yr average"
"299","GAPN_2YR_PRWRIT_NotFSMCLA","Gap between school and national % making expected progress in writing for other pupils - 2 yr average"
"300","GAPN_3YR_PRMAT_NotFSMCLA","Gap between school and national % making expected progress in maths for other pupils - 3 yr average"
