Column,Metafile heading,Metafile description,2019 field name,new for 2022
42,EBACCAPS_WGTAVG_FSM6CLA1A,"Average EBacc APS score per disadvantaged pupil at the end of KS4, weighted average",EBACCAPS_WGTAVG_FSM6CLA1A,
43,PTEBACC_95_WGTAVG_FSM6CLA1A,"% of disadvantaged pupils at the end of KS4 achieving the English Baccalaureate with 9-5 passes, weighted average",EBACC_95_WGTAVG_FSM6CLA1A,
44,PTEBACC_94_WGTAVG_FSM6CLA1A,"% of disadvantaged pupils at the end of KS4 achieving the English Baccalaureate with 9-4 passes, weighted average",EBACC_94_WGTAVG_FSM6CLA1A,
45,PTEBACC_E_PTQ_EE_WGTAVG_FSM6CLA1A,"% of disadvantaged pupils at the end of KS4 with entries in all English Baccalaureate subject areas, weighted average",EBACC_E_PTQ_EE_WGTAVG_FSM6CLA1A,
46,ATT8SCR_WGTAVG_NFSM6CLA1A,"Average Attainment 8 score per non-disadvantaged pupil at the end of KS4, weighted average",,YES
47,P8MEACOV_NFSM6CLA1A,% of non-disadvantaged pupils at the end of ks4 included in Progress 8 measure,,YES
48,P8MEA_WGTAVG_NFSM6CLA1A,"Progress 8 measure after adjustment for extreme scores for non-disadvantaged pupils, weighted average",P8SCORE_ADJ_WGTAVG_NOTFSM6CLA1A,
49,P8CILOW_NFSM6CLA1A,Progress 8 lower 95% confidence interval for adjusted average for non-disadvantaged pupils,P8SCORE_ADJ_LOWER_NOTFSM6CLA1A,
50,P8CIUPP_NFSM6CLA1A,Progress 8 upper 95% confidence interval for adjusted average for non-disadvantaged pupils,P8SCORE_ADJ_UPPER_NOTFSM6CLA1A,
51,PTL2BASICS_95_WGTAVG_NFSM6CLA1A,"% of non-disadvantaged pupils at the end of KS4 achieving strong 9-5 passes in both English and mathematics GCSEs , weighted average",,YES
52,EBACCAPS_WGTAVG_NFSM6CLA1A,"Average EBacc APS score per non-disadvantaged pupil at the end of KS4, weighted average",EBACCAPS_WGTAVG_NOTFSM6CLA1A,
53,PTEBACC_95_WGTAVG_NFSM6CLA1A,"% of non-disadvantaged pupils at the end of KS4 achieving the English Baccalaureate with 9-5 passes, weighted average",EBACC_95_WGTAVG_NOTFSM6CLA1A,
54,PTEBACC_94_WGTAVG_NFSM6CLA1A,"% of non-disadvantaged pupils at the end of KS4 achieving the English Baccalaureate with 9-4 passes, weighted average",EBACC_94_WGTAVG_NOTFSM6CLA1A,
55,PTEBACC_E_PTQ_EE_WGTAVG_NFSM6CLA1A,"% of non-disadvantaged pupils at the end of KS4 with entries in all English Baccalaureate subject areas, weighted average",EBACC_E_PTQ_EE_WGTAVG_NOTFSM6CLA1A,
56,INSTITUTIONS_INMAT,"URNs, including mainstream academies not in performance measures",,YES
57,NUMINST_INMAT,"Number of academies in the trust, including those not in performance measures",,YES
58,NUMINST_CONVERTER_INMAT,"Number of converter academies, including those not in performance measures",,YES
59,NUMINST_SPONSOR_INMAT,"Number of sponsor-led academies, including those not in performance measures",,YES
60,NUMINST_OTHERACADEMY_INMAT,"Number of free, studio, and UTC acadmies, including those not in performance measures",,YES
61,TPUP_INMAT,"Number of pupils at the end of KS4, including those not in performance measures",,YES
62,PFSM6CLA1A_INMAT,"% of pupils at the end of KS4 who are disadvantaged, including those not in performance measures",,YES
63,PNOTFSM6CLA1A_INMAT,"% of pupils at the end of KS4 who are not disadvantaged, including those not in performance measures",,YES
