Column,Metafileheading,Metafile description,Flags
56,"TALLPPE_GRD_AGEN_NOTDIS,","Points per entry, as a Grade, of the  Applied General Cohort, Not Disadvantaged, included in performance measures.",
57,INSTITUTIONS_INMAT,List of all Institutions in the MAT ,
58,NUMINST_1618_INMAT,Number of Academies,
59,NUMINST_1618_SPONSOR_INMAT,Number of Converter Academies,
60,NUMINST_1618_CONVERTER_INMAT,Number of Sponsor Academies,
61,NUMINST_1618_OTHERACADEMY_INMAT,Number of Other Academies,
62,NUMINST_ACAD_INMAT,"Number of Academies, for the Academic Cohort",
63,NUMINST_ACAD_SPONSOR_INMAT,"Number of Converter Academies, for the Academic Cohort",
64,NUMINST_ACAD_CONVERTER_INMAT,"Number of Sponsor Academies, for the Academic Cohort",
65,NUMINST_ACAD_OTHERACADEMY_INMAT,"Number of Other Academies,for the Academic Cohort",
66,NUMINST_AGEN_INMAT,"Number of Academies, for the Applied General Cohort",
67,NUMINST_AGEN_SPONSOR_INMAT,"Number of Converter Academies, for the Applied General Cohort",
68,NUMINST_AGEN_CONVERTER_INMAT,"Number of Sponsor Academies, for the Applied General Cohort",
69,NUMINST_AGEN_OTHERACADEMY_INMAT,"Number of Other Academies,for the Applied General Cohort",
70,TALLPUP_1618_INMAT,Number of students ,
71,TALLPUP_ACAD_INMAT,Number of students in the Academic Cohort,
72,TALLPUP_ACAD_DIS_INMAT,"Number of students in the Academic Cohort, Disadvantaged,",
73,TALLPUP_ACAD_NOTDIS_INMAT,"Number of students in the Academic Cohort, Not Disadvantaged",
74,TALLPUP_AGEN_INMAT,Number of students in the Applied General Cohort,
75,TALLPUP_AGEN_DIS_INMAT,"Number of students in the Applied General Cohort, Disadvantaged",
76,TALLPUP_AGEN_NOTDIS_INMAT,"Number of students in the Applied General Cohort, Not Disadvantaged",
