"GID","URN","UID","Companies House Number","Role","Title","Forename 1","Forename 2","Surname","Date of appointment","Date term of office ends/ended","Appointing body","Original signatory member","Original chair of trustees"
"1734738","100005","","","Governor","","Nick","","Attwood","10/02/2020","09/02/2028","Appointed by GB/board","",""
"1734740","100005","","","Chair of Governors","","Lucy","","Razzall","06/11/2018","10/02/2028","Appointed by GB/board","",""
"1734743","100005","","","Governor","","Sandra","","Martin","01/02/2024","22/09/2025","Appointed by GB/board","",""
"1734744","100005","","","Governor","","Kate","","Nicolson","09/10/2023","08/11/2027","Appointed by GB/board","",""
"1882823","100005","","","Governor","","Martha","","Lecauchois","28/11/2025","27/11/2029","Appointed by GB/board","",""
"1882825","100005","","","Governor","","Nileema","","Islam","24/11/2025","23/11/2029","Appointed by GB/board","",""
"1882826","100005","","","Governor","","Cleo","","Roberts-Komireddi","24/11/2025","23/11/2029","Appointed by GB/board","",""
"1637541","100006","","","Governor","Mr","Anthony","","Neuberger","17/04/2023","16/04/2027","Appointed by GB/board","",""
"1668549","100006","","","Governor","Mrs","Helen","","Roberts","16/04/2023","17/04/2027","Appointed by GB/board","",""
"1668554","100006","","","Governor","Mr","Andrew","","Heffernan","16/04/2023","17/04/2027","Appointed by GB/board","",""
"1763671","100006","","","Governor","Ms","Jessica","","Wren","26/06/2024","25/06/2028","Appointed by GB/board","",""
"1826933","100006","","","Chair of Governors","","Rachel","","Hermer","01/09/2025","31/08/2029","Appointed by GB/board","",""
"1826934","100006","","","Governor","","Ali","","Taghdisi-Rad","17/07/2025","16/07/2029","Appointed by GB/board","",""
"1826935","100006","","","Governor","","Charlotte","","Gascoigne","05/12/2024","04/12/2028","Appointed by GB/board","",""
"1826936","100006","","","Governor","Miss","Christina","","O'Brien","19/05/2023","18/05/2027","Elected by school staff","",""
"1826937","100006","","","Governor","","Foyezur","","Miah","05/12/2024","31/12/2025","Appointed by GB/board","",""
"1826938","100006","","","Governor","","Danny","","Schaffer","01/09/2025","31/08/2026","Appointed by GB/board","",""
"1826939","100006","","","Governor","","Francesca","","Reynolds","01/09/2025","31/08/2029","Appointed by GB/board","",""
"1826940","100006","","","Governor","","Patrick","","Stillman","05/12/2024","04/12/2028","Appointed by GB/board","",""
"1826941","100006","","","Governor","","Sei-Kee","","Maturine","01/09/2025","31/08/2029","Appointed by GB/board","",""
"1826942","100006","","","Governor","Ms","Liz","","Kantor","05/02/2025","04/02/2029","Appointed by GB/board","",""
"1826945","100006","","","Governor","Mr","Nicholas","","John","01/09/2024","31/08/2028","Ex-officio by virtue of office as headteacher/principal","",""
"1894475","100006","","","Governor","Ms","Catherine","","Onyac","20/01/2026","19/01/2030","Elected by parents","",""
"1894477","100006","","","Governor","Mr","Steve","","Outerson","13/04/2026","12/04/2030","Parent appointed by GB/board due to no election candidates","",""
"1894478","100006","","","Governor","Mr","Thomas","","Condon","04/09/2026","03/09/2030","Appointed by GB/board","",""
"1844135","100007","","","Chair of Governors","Mr","Luca","","Salice","01/09/2025","01/09/2026","Appointed by LA","",""
"1263908","100008","","","Governor","Ms","Jemima","","Wade","11/02/2011","","Ex-officio by virtue of office as headteacher/principal","",""
"1448024","100008","","","Chair of Governors","Mr","Mark","","Chesher","31/07/2014","16/09/2028","Appointed by GB/board","",""
"1705690","100008","","","Governor","Miss","Raedeh","","Zovidavi","03/10/2023","02/10/2027","Parent appointed by GB/board due to no election candidates","",""
"1738523","100008","","","Governor","Ms","Mary","","Peretz","21/03/2024","20/03/2028","Appointed by GB/board","",""
"1738524","100008","","","Governor","Mr","Alex","","Rhodes","21/03/2024","20/03/2028","Appointed by GB/board","",""
"1762753","100008","","","Governor","Ms","Jo","","Lyon","12/09/2024","12/09/2028","Elected by school staff","",""
"1812000","100008","","","Governor","Miss","Dana","","Svoboda","27/03/2025","27/03/2029","Appointed by GB/board","",""
"1812003","100008","","","Governor","Mr","Dan","","Corby","27/03/2025","27/03/2029","Appointed by LA","",""
"1133964","100009","","","Governor","","Penelope","","Liechti","06/12/2023","05/12/2027","Elected by parents","",""
"1133976","100009","","","Governor","","Clare","","Booth","09/12/2024","09/12/2028","Elected by parents","",""
"1248723","100009","","","Governor","Miss","Sejal","","Shanghavi","04/10/2021","05/10/2025","Nominated by other body and appointed by GB","",""
"1401873","100009","","","Chair of Governors","Mr","Madhavan","","Raman","18/04/2024","17/04/2028","Appointed by GB/board","",""
"1428225","100009","","","Governor","Ms","Hannah","","Blausten","19/07/2023","05/11/2025","Nominated by other body and appointed by GB","",""
"1475641","100009","","","Governor","","Juliet","","Philips","27/03/2024","26/03/2028","Appointed by GB/board","",""
"1550439","100009","","","Governor","Ms","Reena","","O'Neill","06/10/2021","05/10/2025","Elected by parents","",""
"1738677","100009","","","Governor","Ms","Christine","","Ma","12/10/2022","05/11/2025","Appointed by GB/board","",""
"1738678","100009","","","Governor","Mr","Peter","","Newton","27/03/2024","26/03/2028","Nominated by other body and appointed by GB","",""
"1784538","100009","","","Governor","","Joanne","","Clement","23/05/2024","22/05/2028","Elected by parents","",""
"1842768","100009","","","Governor","","Vanessa","","Lee","11/07/2025","10/07/2029","Elected by parents","",""
"1874011","100009","","","Governor","Mrs","Charlotte","","Way Armstrong","10/12/2025","09/12/2029","Elected by parents","",""
"1610812","100010","","","Governor","","Emma","","Bell","26/03/2024","25/03/2028","Appointed by GB/board","",""
"1610815","100010","","","Governor","","Helen","","Bruckdorfer","26/03/2024","25/03/2028","Appointed by GB/board","",""
"1610817","100010","","","Governor","","Alexander","","Gardiner","25/09/2023","30/11/2025","Appointed by GB/board","",""
"1610819","100010","","","Governor","","Deepak","","Kuriyan","26/03/2024","25/03/2028","Appointed by GB/board","",""
"1610824","100010","","","Governor","","Paul","","Smith","26/03/2024","25/03/2028","Appointed by GB/board","",""
"1610827","100010","","","Governor","","Malcolm","","Wren","26/03/2024","25/03/2028","Appointed by GB/board","",""
"1642632","100010","","","Governor","","Raniah","","Al-Sayed","25/10/2022","24/10/2026","Elected by parents","",""
"1642635","100010","","","Governor","","Rafael","","Goriwoda","25/10/2022","24/10/2026","Elected by parents","",""
"1642637","100010","","","Governor","","Mangala","","Nanda","26/03/2024","25/03/2028","Appointed by GB/board","",""
"1642638","100010","","","Governor","","Muhammad","","Abu Naser","26/03/2024","25/03/2028","Appointed by GB/board","",""
"1816501","100010","","","Chair of Governors","Mr","Alex","","Gardiner","01/12/2025","30/11/2029","Appointed by GB/board","",""
"1832336","100010","","","Governor","","Robert","","Shaw","22/09/2025","21/09/2027","Elected by school staff","",""
"1884721","100010","","","Governor","Ms","Chiara","","Giuliano","01/12/2025","30/11/2029","Appointed by GB/board","",""
"1686140","100011","","","Chair of Governors","Miss","Emma","","Jay","01/08/2023","31/07/2029","Elected by parents","",""
"1203228","100013","","","Governor","Ms","Ruby","","Nasser","05/06/2017","","Ex-officio by virtue of office as headteacher/principal","",""
"1203230","100013","","","Governor","Mr","Mohammed","","Amin","10/12/2021","09/12/2025","Elected by parents","",""
"1217535","100013","","","Chair of Governors","Ms","Deborah","","Isaacs","27/07/2025","28/07/2029","Nominated by LA and appointed by GB","",""
"1305001","100013","","","Governor","Ms","Laura","","Citron","04/03/2024","03/03/2028","Appointed by GB/board","",""
"1359671","100013","","","Governor","Mr","Jack","","Hardiman","04/03/2024","03/03/2028","Appointed by GB/board","",""
"1484604","100013","","","Governor","Ms","Laura","","O'Donoghue","08/11/2023","07/11/2027","Elected by school staff","",""
"1558196","100013","","","Governor","","Karine","","Bocarra","04/03/2024","03/03/2028","Appointed by GB/board","",""
"1581703","100013","","","Governor","Ms","Jennifer","","Craik","25/11/2024","24/11/2028","Appointed by GB/board","",""
"1658552","100013","","","Governor","Mr","Abdilatife","","Shidane","05/12/2022","04/12/2026","Elected by parents","",""
"1712385","100013","","","Governor","Dr","Laura","","Haywood","12/10/2023","11/10/2027","Appointed by GB/board","",""
"1715876","100013","","","Governor","Ms","Jennifer","","Finlay","06/12/2023","05/12/2027","Appointed by GB/board","",""
"1872168","100013","","","Governor","","Fatima","","Ezzouek","11/03/2026","10/03/2030","Parent appointed by GB/board due to no election candidates","",""
"1083477","100014","","","Governor","Headteacher","Donald","","McGibbon","01/09/2016","","Ex-officio by virtue of office as headteacher/principal","",""
"1879202","100014","","","Chair of Governors","Mr","Marcus","","Boyland","10/09/2023","09/09/2027","Appointed by GB/board","",""
"1879450","100014","","","Governor","Ms","Annie","","Balme","01/10/2024","30/09/2028","Appointed by GB/board","",""
"1879462","100014","","","Governor","Mr","Fabrizio","","Sidoli","03/12/2024","02/12/2028","Elected by parents","",""
"1879465","100014","","","Governor","Mr","Abdul","","Mamun","04/10/2023","03/10/2027","Elected by parents","",""
"1879469","100014","","","Governor","Mr","John","David","Showel","29/11/2025","28/11/2029","Elected by parents","",""
"1879477","100014","","","Governor","Ms","Claire","","Price","20/06/2023","19/06/2027","Appointed by GB/board","",""
"1879484","100014","","","Governor","Mr","Jason","","Cooke","27/09/2024","26/09/2028","Elected by parents","",""
"1879487","100014","","","Governor","Ms","Lynley","","Benbetka","31/03/2025","30/03/2029","Elected by school staff","",""
"1879489","100014","","","Governor","Mrs","Rebecca","","Combes","03/12/2024","02/12/2028","Appointed by GB/board","",""
"1879491","100014","","","Governor","Ms","Sinead","","Costello","29/11/2023","28/11/2027","Appointed by GB/board","",""
"1879495","100014","","","Governor","Ms","Oonagh","","Pierce","16/05/2023","15/05/2027","Appointed by GB/board","",""
"1557580","100015","","","Governor","","Adam","","Driscoll","07/10/2022","06/10/2026","Appointed by GB/board","",""
"1557633","100015","","","Governor","","Jayne","","Jones","07/10/2022","06/10/2026","Appointed by GB/board","",""
"1623951","100015","","","Governor","","Debra","","L'Esteve","02/09/2022","06/10/2026","Appointed by GB/board","",""
"1829401","100015","","","Chair of Governors","Mr","Nicholas","","Hewlett","08/07/2025","07/07/2028","Appointed by GB/board","",""
"1847197","100015","","","Governor","Mr","Lyon","","Cheu","08/10/2024","08/10/2028","Appointed by GB/board","",""
"1847198","100015","","","Governor","","Edward","Lucian","Grant","08/10/2024","08/10/2028","Elected by parents","",""
"1847199","100015","","","Governor","","Jackie","","Herald","01/08/2025","31/07/2029","Appointed by LA","",""
"1847200","100015","","","Governor","","Charles","","Williams","07/10/2025","06/10/2029","Appointed by GB/board","",""
"1880947","100015","","","Governor","Ms","Lacey","","Cousins","01/09/2024","","Ex-officio by virtue of office as headteacher/principal","",""
"1880948","100015","","","Governor","Ms","Chloe","","Davies","01/12/2025","30/11/2029","Elected by parents","",""
"1880951","100015","","","Governor","Mr","Jonathan","","Kerrigan","20/03/2026","20/03/2030","Elected by parents","",""
"1619262","100018","","","Chair of Governors","Mr","Anthony","","Stoll","03/12/2015","09/07/2028","Nominated by LA and appointed by GB","",""
"1619276","100018","","","Governor","Mrs","Dorothea","","Hackman","10/07/2019","09/07/2028","Appointed by GB/board","",""
"1619328","100018","","","Governor","Mr","David","","Auger","03/12/2015","09/07/2028","Appointed by GB/board","",""
"1619331","100018","","","Governor","Mr","John","","Hayes","01/09/2021","31/08/2026","Ex-officio by virtue of office as headteacher/principal","",""
"1619332","100018","","","Governor","Mr","Gareth","","Morris","01/09/2021","","Ex-officio by virtue of office as headteacher/principal","",""
"1691860","100018","","","Governor","Ms","Isabel","","Berwick","30/06/2023","01/09/2027","Appointed by GB/board","",""
"1691863","100018","","","Governor","","Hamide","","Latifi","30/06/2023","01/09/2027","Appointed by GB/board","",""
"1727972","100018","","","Governor","Miss","Claire","","Parker","15/11/2023","14/11/2027","Elected by school staff","",""
"1727973","100018","","","Governor","Mr","Mohammad","","Khan","04/12/2023","03/12/2027","Elected by parents","",""
"1800877","100018","","","Governor","","Iftekar","","Choudhury","09/12/2024","09/12/2027","Parent appointed by GB/board due to no election candidates","",""
"1242247","100019","","","Governor","Headteacher","Karyn","","Ray","01/09/2007","","Ex-officio by virtue of office as headteacher/principal","",""
"1658986","100019","","","Chair of Governors","","Helen","","Andrews","02/03/2025","01/03/2027","Appointed by GB/board","",""
"1483287","100020","","","Governor","","Alice","","Gray","23/04/2023","22/04/2027","Appointed by GB/board","",""
"1483515","100020","","","Governor","","Laura","","Thompson","02/02/2022","01/02/2026","Elected by parents","",""
"1738239","100020","","","Governor","Ms","Marina","","Castelo-Branco","14/12/2022","13/12/2026","Elected by school staff","",""
"1738243","100020","","","Governor","Mr","Matthew","","Cooper","19/03/2023","18/03/2027","Nominated by LA and appointed by GB","",""
"1738245","100020","","","Governor","Mr","Liam","","Frost","01/09/2023","31/08/2027","Ex-officio by virtue of office as headteacher/principal","",""
"1738252","100020","","","Governor","Ms","Isabel","","Murphy","23/04/2023","22/04/2027","Elected by school staff","",""
"1738256","100020","","","Governor","Ms","Katerina","","Zographos","14/12/2022","13/12/2026","Appointed by GB/board","",""
"1811169","100020","","","Governor","Ms","Lara","","Brearley","07/03/2025","06/03/2029","Elected by parents","",""
"1811170","100020","","","Governor","Ms","Ikran","","Muhumud","07/03/2025","06/03/2029","Elected by parents","",""
"1844770","100020","","","Chair of Governors","Mr","Magen","","Inon","01/09/2024","01/02/2026","Appointed by GB/board","",""
"1844786","100020","","","Governor","Ms","Deborah","","Isaacs","11/08/2022","11/08/2026","Appointed by GB/board","",""
"1844787","100020","","","Governor","Mr","William","","Miller","09/07/2025","09/07/2029","Appointed by GB/board","",""
"1882450","100020","","","Chair of Governors","Mr","Diego","","Arroyo Ornelas","02/02/2026","17/12/2028","Elected by parents","",""
"1882453","100020","","","Governor","Mr","Magen","","Inon","26/03/2026","31/08/2026","Appointed by GB/board","",""
"1882454","100020","","","Governor","Ms","Laura","","Wynne","26/03/2026","24/03/2030","Appointed by GB/board","",""
"1308632","100021","","","Governor","Mrs","Kemi","","Atolagbe","01/10/2016","04/12/2026","Parent appointed by GB/board due to no election candidates","",""
"1308635","100021","","","Governor","Ms","Lynda","","Jago","01/11/2021","16/04/2028","Parent appointed by GB/board due to no election candidates","",""
"1308646","100021","","","Governor","Mr","Hussein","","Nasser","04/12/2019","31/08/2026","Appointed by GB/board","",""
"1362437","100021","","","Chair of Governors","Mrs","Helene","","Reardon Bond","04/03/2015","22/02/2027","Appointed by GB/board","",""
"1362446","100021","","","Governor","Mr","Matthew","","Sanders","27/03/2019","22/03/2027","Appointed by GB/board","",""
"1362453","100021","","","Governor","Dr","Merle","","Mahon","27/03/2019","22/03/2027","Appointed by GB/board","",""
"1362455","100021","","","Governor","Mr","Duncan","","Parrish","04/03/2015","03/03/2027","Nominated by LA and appointed by GB","",""
"1362458","100021","","","Governor","Dr","Yve","","Posner","27/03/2019","23/05/2027","Appointed by GB/board","",""
"1516000","100021","","","Governor","Ms","Denise","","Folwell","07/05/2019","23/05/2027","Appointed by GB/board","",""
"1550487","100021","","","Governor","Mr","Cyrus","","Suntook","08/10/2021","22/03/2026","Appointed by GB/board","",""
"1567453","100021","","","Governor","Miss","Elizabeth","","Clayfield","08/11/2021","07/11/2025","Elected by school staff","",""
"1567454","100021","","","Governor","Mrs","Yasmin","","Lahreche","08/11/2021","07/11/2025","Parent appointed by GB/board due to no election candidates","",""
"1700594","100021","","","Governor","Mr","Andrew","","Hudson","12/07/2023","11/07/2027","Appointed by GB/board","",""
"1725659","100021","","","Governor","Ms","Sarah","","Davison","12/07/2023","11/07/2027","Appointed by GB/board","",""
"1825035","100021","","","Governor","Mr","Don","","McGibbon","22/04/2025","","Ex-officio by virtue of office as headteacher/principal","",""
"1825036","100021","","","Governor","Ms","Sarah","","Ftouhi","26/03/2025","02/03/2029","Parent appointed by GB/board due to no election candidates","",""
"1825039","100021","","","Governor","Mr","Sayeed","","Hasan","01/09/2024","03/12/2025","Parent appointed by GB/board due to no election candidates","",""
"1825044","100021","","","Governor","Ms","Abi","","Johnson","01/09/2025","31/08/2029","Appointed by GB/board","",""
"1844133","100021","","","Governor","","Helen","","Grimshaw","17/09/2025","16/09/2029","Appointed by GB/board","",""
"1851213","100021","","","Governor","Mrs","Kowsar","","Bedel","03/12/2025","02/12/2029","Parent appointed by GB/board due to no election candidates","",""
"1851214","100021","","","Governor","Miss","Mumtaz","","Ibrahim","03/12/2025","02/12/2029","Parent appointed by GB/board due to no election candidates","",""
"1862923","100021","","","Governor","Miss","Louise","","Iskander","03/12/2025","02/12/2029","Elected by school staff","",""
"1253373","100022","","","Chair of Governors","Ms","Deborah","","Isaacs","31/03/2023","30/03/2027","Appointed by GB/board","",""
"1253382","100022","","","Governor","Ms","Bridget","","Coates","10/11/2021","09/11/2025","Appointed by GB/board","",""
"1253397","100022","","","Governor","Mr","Seamus","","MacGibbon","01/06/2023","17/11/2025","Elected by school staff","",""
"1253434","100022","","","Governor","Mr","Peter","","Hogg","06/11/2024","25/11/2028","Appointed by GB/board","",""
"1253436","100022","","","Governor","Ms","Vivienne","","Appell","05/07/2023","04/07/2027","Appointed by GB/board","",""
"1253447","100022","","","Governor","Mr","Eric","","Usadi","01/11/2023","31/10/2027","Appointed by GB/board","",""
"1578623","100022","","","Governor","Ms","Sarah","","Jafri","22/03/2022","21/03/2026","Elected by parents","",""
"1578624","100022","","","Governor","Mrs","Ruhie","","Fyjun Ali","22/03/2022","21/03/2026","Elected by parents","",""
"1603354","100022","","","Governor","Ms","Ammarah","","Hassan","06/07/2022","05/07/2026","Appointed by GB/board","",""
"1745022","100022","","","Governor","Mr","Edmund","","Frondigoun","28/02/2024","27/02/2028","Nominated by LA and appointed by GB","",""
"1829826","100022","","","Governor","Ms","Sarah","","Cousins","19/03/2025","18/03/2029","Appointed by GB/board","",""
"1849116","100022","","","Governor","Mr","Gary","","McNie","12/11/2025","11/11/2029","Elected by school staff","",""
"1875016","100022","","","Governor","Mr","Brendon","","Marczan","11/03/2026","10/03/2030","Appointed by GB/board","",""
"1886343","100022","","","Governor","Mr","Javed","","Miah","18/05/2026","17/05/2030","Elected by parents","",""
"1886345","100022","","","Governor","Mr","Amiin","","Osman","03/07/2026","02/07/2030","Elected by parents","",""
"1610665","100023","","","Governor","","Helen","","Bruckdorfer","26/03/2024","25/03/2028","Appointed by GB/board","",""
"1610677","100023","","","Governor","","Emma","","Bell","26/03/2024","25/03/2028","Appointed by GB/board","",""
"1610681","100023","","","Governor","","Deepak","","Kuriyan","26/03/2024","25/03/2028","Appointed by GB/board","",""
"1610686","100023","","","Governor","","Paul","","Smith","26/03/2024","25/03/2028","Appointed by GB/board","",""
"1610700","100023","","","Governor","","Malcolm","","Wren","26/03/2024","25/03/2028","Appointed by GB/board","",""
"1642620","100023","","","Governor","","Muhammad","","Abu Naser","26/03/2024","25/03/2028","Appointed by GB/board","",""
"1642622","100023","","","Governor","","Mangala","","Nanda","26/03/2024","25/03/2028","Appointed by GB/board","",""
"1642623","100023","","","Governor","","Rafael","","Goriwoda","25/10/2022","24/10/2026","Elected by parents","",""
"1642625","100023","","","Governor","","Raniah","","Al-Sayed","25/10/2022","24/10/2026","Elected by parents","",""
"1816481","100023","","","Chair of Governors","Mr","Alex","","Gardiner","01/05/2025","30/04/2029","Appointed by GB/board","",""
"1832332","100023","","","Governor","","Robert","","Shaw","22/09/2025","21/09/2027","Elected by school staff","",""
"1861035","100023","","","Governor","Ms","Chiara","","Giuliano","01/12/2025","30/11/2029","Appointed by GB/board","",""
"1272815","100025","","","Governor","Ms","Nathalie","","Casali","06/12/2021","05/12/2025","Elected by parents","",""
"1345342","100025","","","Governor","Ms","Lucy","","Moorehead","05/12/2022","06/12/2026","Elected by parents","",""
"1637799","100025","","","Governor","Mr","Tristan","","Stubbs","05/12/2022","06/12/2026","Elected by parents","",""
"1637802","100025","","","Governor","Ms","Clare","","Flaxen","05/12/2022","06/12/2026","Elected by parents","",""
"1682720","100025","","","Chair of Governors","Mr","Marcus","","Goddard","20/07/2023","19/07/2027","Elected by parents","",""
"1691102","100025","","","Governor","Ms","Dawn","Marie","O Driscoll","19/09/2023","18/09/2027","Elected by school staff","",""
"1731616","100025","","","Governor","","Adam","","Cooke","11/03/2023","10/03/2027","Appointed by GB/board","",""
"1833069","100025","","","Governor","Ms","Alix","","Hutchinson","01/09/2024","31/08/2027","Appointed by GB/board","",""
"1868243","100025","","","Governor","Ms","Debora","","Amato","18/12/2025","17/12/2028","Elected by parents","",""
"1868245","100025","","","Governor","Mr","Alex","","Martin","18/12/2025","17/12/2028","Elected by parents","",""
"1086106","100026","","","Governor","Mr","Rob","","Earrey","03/11/2000","","Ex-officio by virtue of office as headteacher/principal","",""
"1086250","100026","","","Governor","Ms","Pat","","Traynor","23/03/2023","22/03/2027","Appointed by GB/board","",""
"1086285","100026","","","Governor","Ms","Deborah","","Moss","23/03/2023","22/03/2027","Appointed by GB/board","",""
"1254824","100026","","","Governor","Mr","Pete","","Winiewicz","23/03/2023","22/03/2027","Appointed by GB/board","",""
"1434225","100026","","","Governor","Dr","Nick","","Zangwill","21/03/2024","20/03/2028","Elected by parents","",""
"1480465","100026","","","Governor","Ms","Deborah","","Townsend","23/03/2023","22/03/2027","Appointed by GB/board","",""
"1586172","100026","","","Chair of Governors","Ms","Ruth","","Shocken-Katz","01/09/2026","31/08/2030","Appointed by GB/board","",""
"1627117","100026","","","Governor","Ms","Danielle","","Litterick","23/03/2023","22/03/2027","Appointed by GB/board","",""
"1627122","100026","","","Governor","Ms","Anna","","Smirnova","01/09/2022","31/08/2026","Elected by parents","",""
"1627125","100026","","","Governor","Ms","Ella","","Salter","01/09/2026","31/08/2030","Elected by parents","",""
"1715199","100026","","","Governor","Mr","Simon","","Lickert","13/12/2023","12/12/2027","Appointed by LA","",""
"1737896","100026","","","Governor","Ms","Tara","","Shannon","21/03/2024","20/03/2028","Elected by parents","",""
"1790379","100026","","","Governor","Ms","Andrea","","Yiakoumetti","04/01/2025","03/01/2029","Appointed by GB/board","",""
"1896083","100026","","","Governor","","Elia","","Passa","01/09/2026","31/08/2030","Elected by parents","",""
"1683133","100027","","","Chair of Governors","Mr","Christophe","","Frerebeau","01/09/2023","31/08/2027","Appointed by GB/board","",""
"1711282","100028","","","Chair of Governors","Mr","Oliver","","Chesser","01/10/2008","01/10/2027","Foundation/sponsor members","",""
"1739422","100029","","","Chair of Governors","Ms","Gill","","Green","02/10/2022","12/10/2026","Appointed by GB/board","",""
"1739616","100029","","","Governor","Ms","Joanne","","Brewer","17/10/2021","16/10/2029","Appointed by foundation/Trust","",""
"1739619","100029","","","Governor","Ms","Denise","","Cooper","01/01/2023","31/12/2026","Appointed by GB/board","",""
"1739622","100029","","","Governor","Ms","Kate","","Glick","04/09/2023","03/09/2027","Nominated by other body and appointed by GB","",""
"1739624","100029","","","Governor","Mr","Liam","","Healy","01/12/2022","31/08/2026","Parent appointed by GB/board due to no election candidates","",""
"1739627","100029","","","Governor","Reverend","Sally","","Jones","04/12/2018","","Ex-officio foundation governor (appointed by foundation by virtue of the office they hold)","",""
"1739630","100029","","","Governor","Mrs","Julie","","Nicholls","23/10/2022","22/10/2026","Appointed by foundation/Trust","",""
"1739632","100029","","","Governor","Ms","Amy","","Stroud","21/03/2024","20/03/2028","Elected by school staff","",""
"1739633","100029","","","Governor","Mrs","Anita","","Thomas","04/10/2021","03/10/2029","Persons who are appointed by the foundation body or sponsor (if applicable)","",""
"1810140","100029","","","Governor","Mr","Lee","","Duffy","22/04/2025","","Ex-officio by virtue of office as headteacher/principal","",""
"1838706","100029","","","Governor","Ms","Ann","","Williamson-Cross","17/06/2024","25/11/2028","Foundation/sponsor members","",""
"1878472","100029","","","Governor","Mrs","Jean","","Smith","01/09/2025","31/08/2029","Elected by school staff","",""
"1751051","100030","","","Chair of Governors","Mr","Robert","","Marshall","15/10/2023","15/10/2027","Appointed by GB/board","",""
"1803472","100030","","","Governor","Mr","Ian","","Cohen","05/02/2024","04/02/2028","Appointed by GB/board","",""
"1803482","100030","","","Governor","Mr","Blaise","","Temple","21/02/2022","20/02/2026","Appointed by foundation/Trust","",""
"1803488","100030","","","Governor","Mrs","Anna","","Baldursdottir","25/11/2021","24/11/2025","Elected by parents","",""
"1804184","100030","","","Governor","Revd","Catrioina","","Laing","01/09/2023","31/08/2027","Ex-officio foundation governor (appointed by foundation by virtue of the office they hold)","",""
"1804191","100030","","","Governor","Mr","Richard","","Blyth","12/05/2026","11/05/2030","Appointed by foundation/Trust","",""
"1804206","100030","","","Governor","Mrs","Nancy","","Jirira","08/11/2023","07/11/2027","Appointed by foundation/Trust","",""
"1804213","100030","","","Governor","Mrs","Joanna","","Vo-Ta","14/03/2022","13/03/2026","Appointed by foundation/Trust","",""
"1804219","100030","","","Governor","Miss","Kate","","Roscoe","01/09/2023","","Ex-officio by virtue of office as headteacher/principal","",""
"1804230","100030","","","Governor","Mrs","Fatima","","Zehra","02/05/2023","20/12/2025","Elected by school staff","",""
"1809531","100030","","","Governor","Mrs","Diane","","Spero","12/12/2024","11/12/2028","Appointed by GB/board","",""
"1828162","100030","","","Governor","Mr","Joseph","","Macdonald","19/06/2025","18/06/2029","Elected by parents","",""
"1863937","100030","","","Governor","Ms","Genevieve","","Adams","04/02/2026","04/02/2030","Elected by school staff","",""
"1871480","100030","","","Governor","Mrs","Lucy","","Borg-Bassett","25/03/2026","24/03/2030","Elected by parents","",""
"1432962","100031","","","Governor","The Revd","Carol","","Barrett Ford","21/03/2022","","Ex-officio foundation governor (appointed by foundation by virtue of the office they hold)","",""
"1536320","100031","","","Governor","Mrs","Laura","","Hall","01/09/2021","","Ex-officio by virtue of office as headteacher/principal","",""
