"GID","URN","UID","Companies House Number","Role","Title","Forename 1","Forename 2","Surname","Date of appointment","Date term of office ends/ended","Appointing body","Original signatory member","Original chair of trustees"
"1842887","101849","","","Trustee","Ms","Jasmine","","Wilson","06/10/2025","05/10/2028","Appointed by GB/board","",""
"1856363","101849","","","Trustee","Mrs","Tesca","","Bennett","17/12/2025","16/12/2028","Appointed by GB/board","",""
"1879100","101849","","","Trustee","Mr","Anmol","","Chibber","29/04/2026","28/04/2029","Appointed by GB/board","",""
"1879102","101849","","","Trustee","Mr","Edmund","","Nexton-Rex","29/04/2026","28/04/2029","Appointed by GB/board","",""
"1884002","101849","","","Trustee","Ms","Natalie","","Duvall","29/04/2026","29/04/2029","Appointed by GB/board","",""
"1887269","101849","","","Trustee","Mr","Dan","","Clark","15/07/2026","14/07/2029","Elected by school staff","",""
"1887270","101849","","","Trustee","Mr","Oliver","","Thornton","15/07/2026","14/07/2029","Elected by school staff","",""
"1801560","105135","","","Local Governor","Mr","Bernie","","Borland","01/09/2022","13/01/2026","Appointed by foundation/Trust","",""
"1801562","105135","","","Local Governor","Ms","Melanie","","Fontinelle","12/12/2022","11/12/2026","Appointed by GB/board","",""
"1801581","105135","","","Local Governor","Fr","Richard","","Offong","12/07/2024","11/07/2028","Appointed by foundation/Trust","",""
"1801942","105135","","","Local Governor","Ms","Karen","","Saunders","11/05/2022","30/11/2025","Appointed by GB/board","",""
"1801949","105135","","","Local Governor","Ms","Claire","","Hallinan","25/04/2022","24/04/2026","Appointed by GB/board","",""
"1801952","105135","","","Local Governor","Ms","Rosemarie","","Suma-Keita","24/03/2022","23/03/2026","Elected by parents","",""
"1802316","105135","","","Local Governor","Ms","Giselle","","Allette","22/06/2023","21/06/2027","Elected by parents","",""
"1813246","105135","","","Local Governor","Ms","Kim","","Nguyen-Quan","23/04/2025","22/04/2029","Appointed by foundation/Trust","",""
"1842958","105135","","","Chair of Local Governing Body","Ms","Gina","","Millbank","19/01/2026","18/01/2030","Appointed by foundation/Trust","",""
"1842962","105135","","","Local Governor","Ms","Maggie","","Ryan","01/09/2025","01/01/2026","Ex-officio by virtue of office as headteacher/principal","",""
"1855903","105135","","","Local Governor","Mr","Anton","","Innocent","01/01/2026","","Ex-officio by virtue of office as headteacher/principal","",""
"1865962","105135","","","Local Governor","Mrs","Hayley","","Palmer","16/02/2026","15/02/2030","Appointed by foundation/Trust","",""
"1876520","105135","","","Local Governor","Mr","Gordon","","Davis","29/04/2026","28/04/2030","Elected by school staff","",""
"1886599","105135","","","Local Governor","Ms","Stephanie","","Jones","15/07/2026","14/07/2030","Nominated by LA and appointed by GB","",""
"1068208","108420","","","Member","","Emmanuel Schools","","Foundation","04/10/2010","","Foundation/sponsor members","",""
"1177748","108420","","","Chief Financial Officer","Mr","Darren","Paul","Warburton","10/03/2017","","N/A","",""
"1199631","108420","","","Accounting Officer","Mr","Mark","","Pike","01/04/2016","","N/A","",""
"1239519","108420","","","Trustee","Mrs","Judith","","Sword","15/12/2014","14/12/2026","Appointed by GB/board","",""
"1508031","108420","","","Trustee","Dr","Jonathan","","Harness","03/03/2025","02/03/2029","Appointed by GB/board","",""
"1508034","108420","","","Trustee","Mrs","Joy","","Evans","03/03/2025","02/03/2029","Appointed by GB/board","",""
"1592117","108420","","","Chair of Trustees","Mr","Ross","","Smith","01/10/2025","01/10/2029","Appointed by GB/board","",""
"1678708","108420","","","Trustee","Mr","Tom","","Smyth","15/06/2023","02/04/2026","Appointed by foundation/Trust","",""
"1817967","108420","","","Trustee","","Gladys","","Mante-Nyadu","15/05/2025","15/05/2029","Appointed by GB/board","",""
"1825718","108420","","","Trustee","","Crystal","","Hicks","09/07/2025","09/07/2029","Appointed by foundation/Trust","",""
"1274459","123627","","","Trustee","Mr","Stewart","","Roberts","25/11/2022","25/11/2026","Foundation/sponsor members","",""
"1274476","123627","","","Member","","The Mercers' Company","","The Mercers' Company","06/02/1990","","Original (signatory) members","",""
"1274477","123627","","","Member","","Tarmac Holdings (THL)","","Tarmac Holdings (THL)","18/08/1989","","Original (signatory) members","",""
"1295459","123627","","","Accounting Officer","Mr","Ian","","Rawlings","01/09/2024","","N/A","",""
"1582210","123627","","","Chief Financial Officer","Mr","Thomas","","Osborne","01/03/2022","","N/A","",""
"1675864","123627","","","Trustee","Mrs","Esther","","Williams","19/06/2023","20/06/2027","Foundation/sponsor members","",""
"1676202","123627","","","Member","Mr","John","Ferguson","Bowater","03/03/2021","","Original (signatory) members","",""
"1683237","123627","","","Trustee","Mr","John","Ferguson","Bowater","20/06/2023","20/06/2027","Original (signatory) members","",""
"1683246","123627","","","Chair of Trustees","Mrs","Georgina","Louise","Ruoss","01/09/2023","01/09/2027","Original (signatory) members","",""
"1750712","123627","","","Trustee","Mr","James","","Roberts","20/06/2024","20/06/2028","Original (signatory) members","",""
"1750715","123627","","","Trustee","Miss","Georgia","","Vine","20/06/2024","20/06/2028","Original (signatory) members","",""
"1753975","123627","","","Trustee","Mr","Timothy","Christopher Ashley","Haywood","01/09/2024","01/09/2028","Foundation/sponsor members","",""
"1774834","123627","","","Trustee","Mrs","Kate","","Evers","07/11/2024","07/11/2028","Original (signatory) members","",""
"1801244","123627","","","Trustee","Mrs","Caroline","Margaret","Harding-Jack","05/03/2025","05/03/2029","Original (signatory) members","",""
"1845078","123627","","","Member","Mr","Tim","","Billingham","13/11/2025","","Original (signatory) members","",""
"1441105","129342","","","Local Governor","Mr","Darren","","Gelder","20/04/2020","19/04/2028","Appointed by foundation/Trust","",""
"1441108","129342","","","Local Governor","Mrs","Kirsty","","Barlow","26/02/2024","25/02/2028","Elected by school staff","",""
"1646155","129342","","","Local Governor","Mrs","Rachel","","Pearce","06/12/2022","05/12/2026","Elected by parents","",""
"1690172","129342","","","Local Governor","Mr","Matthew","","Godwin","19/09/2023","","Ex-officio by virtue of office as headteacher/principal","",""
"1734001","129342","","","Local Governor","Mrs","Shilpi","","Akbar","04/03/2024","03/03/2028","Appointed by GB/board","",""
"1754612","129342","","","Chair of Local Governing Body","Mr","David","","Boden","19/03/2024","18/03/2028","Appointed by GB/board","",""
"1795435","129342","","","Local Governor","Mrs","Tina","","Whitehouse","22/10/2024","21/10/2028","Appointed by GB/board","",""
"1847539","129342","","","Local Governor","Mrs","Jodie","","Munn","18/10/2025","17/10/2029","Elected by parents","",""
"1847553","129342","","","Local Governor","Mr","Ryan","","Hodgins","02/09/2025","01/09/2029","Appointed by GB/board","",""
"1368489","130908","","","Local Governor","","M","","Stephenson","26/03/2019","10/02/2026","Appointed by GB/board","",""
"1558839","130908","","","Local Governor","Mrs","Rachel","","Coning","01/11/2021","","Ex-officio by virtue of office as headteacher/principal","",""
"1620257","130908","","","Local Governor","Miss","Frances","","Daffurn","27/09/2022","27/09/2030","Appointed by GB/board","",""
"1620259","130908","","","Local Governor","Mr","Steve","","Cowgill","27/09/2022","27/09/2030","Appointed by GB/board","",""
"1663069","130908","","","Local Governor","Mrs","Sarah","","Slater","24/01/2023","24/01/2027","Appointed by GB/board","",""
"1676450","130908","","","Local Governor","Dr","Keither","","Parker","27/06/2023","27/06/2027","Appointed by GB/board","",""
"1676452","130908","","","Local Governor","Dr","Elizabeth","","McDonagh","27/06/2023","27/06/2027","Appointed by GB/board","",""
"1676455","130908","","","Local Governor","Ms","Sam","","Devon","27/06/2023","27/06/2027","Appointed by GB/board","",""
"1709592","130908","","","Local Governor","Mrs","Emily","Ruth","Greenhalgh-Stone","21/11/2023","21/11/2027","Appointed by GB/board","",""
"1776433","130908","","","Local Governor","Mr","Martin","","Featherstone","28/09/2024","28/09/2028","Appointed by GB/board","",""
"1790299","130908","","","Chair of Local Governing Body","Mr","Adam","","Bennett","18/01/2025","10/02/2026","Appointed by GB/board","",""
"1867036","130908","","","Chair of Local Governing Body","","Mark","","Stephenson","11/02/2026","25/03/2027","Appointed by GB/board","",""
"1867037","130908","","","Local Governor","Mr","Adam","","Bennett","11/02/2026","31/08/2026","Appointed by academy members","",""
"1880626","130908","","","Local Governor","Mr","Peter","","Hayward","17/03/2026","17/03/2030","Appointed by GB/board","",""
"1444534","130909","","","Local Governor","Mr","Richard","","Wilson","01/04/2020","01/01/2026","Ex-officio by virtue of office as headteacher/principal","",""
"1560426","130909","","","Local Governor","","Clare","","Skelding","01/09/2021","01/01/2026","Ex-officio by virtue of office as headteacher/principal","",""
"1679508","130909","","","Local Governor","Mr","Raouf","","Mohammed","02/04/2023","01/01/2026","Ex-officio by virtue of office as headteacher/principal","",""
"1717168","130909","","","Local Governor","Ms","Rebecca","","Greenwood","02/01/2024","","Ex-officio by virtue of office as headteacher/principal","",""
"1724819","130909","","","Local Governor","Mr","Mayat","","Mohamed","01/10/2023","01/01/2026","Elected by parents","",""
"1794122","130909","","","Local Governor","Mrs","Heather","","Round","31/01/2025","01/01/2026","Elected by school staff","",""
"1808100","130909","","","Local Governor","Ms","Dorothy","","Mead","15/02/2025","01/01/2026","Appointed by GB/board","",""
"1808101","130909","","","Local Governor","Ms","Ridwana","","Wallace","01/04/2025","31/03/2029","Appointed by GB/board","",""
"1808103","130909","","","Local Governor","Mrs","Moneeza","","Alyas","10/02/2025","01/01/2026","Elected by parents","",""
"1808106","130909","","","Local Governor","Mrs","Rabab","","Yawar","01/04/2025","01/01/2026","Elected by parents","",""
"1888391","130909","","","Local Governance Professional - Individual Academy or Free School","Mr","Raouf","","Mohammed","01/01/2026","","N/A","",""
"1888396","130909","","","Local Governor","Ms","Rabab","","Yawar","01/04/2025","31/03/2029","Appointed by GB/board","",""
"1888403","130909","","","Local Governor","Mr","Simon","","Gayle","01/04/2025","","Ex-officio by virtue of office as headteacher/principal","",""
"1888409","130909","","","Local Governor","Ms","Umaira","","Bashir","21/06/2021","20/06/2029","Appointed by academy members","",""
"1230367","130912","","","Local Governor","Mr","Michael","","Freedman","01/10/2015","14/05/2029","Appointed by GB/board","",""
"1230372","130912","","","Local Governor","Mr","Shabeer","","Ahmad","01/11/2015","01/11/2027","Elected by school staff","",""
"1230373","130912","","","Local Governor","Ms","Patricia","","Edwards","01/02/2017","14/05/2029","Appointed by GB/board","",""
"1230375","130912","","","Local Governor","Ms","Michelene","","Hinkson","01/11/2015","01/11/2027","Elected by school staff","",""
"1288407","130912","","","Local Governor","","Thomas","","Webb","01/03/2018","01/09/2026","Appointed by GB/board","",""
"1351364","130912","","","Chair of Local Governing Body","Ms","Catherine","","Barker","01/01/2019","01/12/2026","Appointed by foundation/Trust","",""
"1740564","130912","","","Local Governor","Mr","Will","","Sarjant","01/09/2023","31/12/2026","Appointed by GB/board","",""
"1689310","131062","","","Local Governor","Dr","Marie","","Stewart - MBE","01/09/2023","31/08/2027","Appointed by GB/board","",""
"1712209","131062","","","Local Governor","Mr","Omar","","Deria","25/04/2022","","Ex-officio by virtue of office as headteacher/principal","",""
"1741478","131062","","","Local Governor","Ms","Yazmeen","","Zaman","06/03/2024","31/03/2027","Appointed by GB/board","",""
"1747442","131062","","","Local Governor","Miss","Rebecca","","Miller","12/06/2024","11/06/2028","Appointed by GB/board","",""
"1762333","131062","","","Local Governor","Mr","Shaun","","Lowthian","10/07/2024","09/07/2028","Appointed by GB/board","",""
"1762337","131062","","","Local Governor","Mr","Jeremy","","Stewart","10/07/2024","09/07/2028","Appointed by GB/board","",""
"1762338","131062","","","Local Governor","Miss","Sophie","","Munro","10/07/2024","09/07/2028","Appointed by GB/board","",""
"1762340","131062","","","Local Governor","Ms","Debbie","","Leung","10/07/2024","09/07/2028","Elected by parents","",""
"1762343","131062","","","Local Governor","Mr","Mark","","Lewis","10/07/2024","09/07/2028","Elected by parents","",""
"1816499","131062","","","Local Governor","Ms","Jan","","Tallis","18/06/2025","08/10/2025","Appointed by GB/board","",""
"1827058","131062","","","Chair of Local Governing Body","Ms","Yazmeen","","Zaman","10/07/2025","09/07/2029","Appointed by GB/board","",""
"1840945","131062","","","Local Governor","Ms","Jessica","","Lichtenstein","08/10/2025","07/10/2029","Appointed by foundation/Trust","",""
"1840947","131062","","","Local Governor","Ms","Clara","","Browne","08/10/2025","07/10/2029","Appointed by foundation/Trust","",""
"1840948","131062","","","Local Governor","Mr","Gregory","","Beer","08/10/2025","07/10/2029","Appointed by foundation/Trust","",""
"1037614","131065","","","Local Governor","Ms","Christine","","Todd","01/09/2014","11/11/2026","Appointed by foundation/Trust","",""
"1331651","131065","","","Local Governor","Mr","Philip","","Mayor","12/11/2018","13/11/2026","Appointed by foundation/Trust","",""
"1331654","131065","","","Local Governor","Mrs","Emily","","Vernon","01/09/2018","13/04/2026","Ex-officio by virtue of office as headteacher/principal","",""
"1568155","131065","","","Local Governor","","Emma","","van Deventer","07/12/2021","06/12/2025","Elected by school staff","",""
"1608044","131065","","","Chair of Local Governing Body","Professor","Roderick","Paul","Dubrow-Marshall","01/09/2022","27/09/2027","Appointed by foundation/Trust","",""
"1608045","131065","","","Local Governor","Dr","Geoff","","Wainwright","01/03/2017","09/10/2027","Appointed by foundation/Trust","",""
"1673459","131065","","","Local Governor","Mrs","Laura","","Murphy","16/05/2023","24/04/2026","Elected by school staff","",""
"1783332","131065","","","Local Governor","","Estelle","","Hargraves","04/12/2024","03/12/2028","Elected by parents","",""
"1783334","131065","","","Local Governor","","Tanesha","","Silveria","04/12/2024","03/12/2028","Elected by parents","",""
"1792270","131065","","","Local Governor","","Roy","","Spencer","17/12/2024","16/12/2028","Appointed by foundation/Trust","",""
"1879666","131065","","","Local Governor","Mr","Paul","","Johnson","13/04/2026","","Ex-officio by virtue of office as headteacher/principal","",""
"1122098","131262","","","Trustee","Mr","Duncan","","Harman-Wilson","06/10/2011","31/08/2026","Foundation/sponsor members","",""
"1122112","131262","","","Trustee","Mr","Alastair","","Metcalf","30/09/2014","24/06/2026","Foundation/sponsor members","",""
"1122173","131262","","","Trustee","Mr","Mark","","Beard","26/03/2014","31/08/2026","Foundation/sponsor members","",""
"1127090","131262","","","Member","","David","","Dangoor","28/03/2007","","Foundation/sponsor members","",""
"1399056","131262","","","Trustee","Mr","David","","Dangoor","31/01/2007","31/08/2026","Foundation/sponsor members","",""
"1399058","131262","","","Trustee","Dr","Judy","","Dangoor","31/01/2007","31/08/2026","Foundation/sponsor members","",""
"1413910","131262","","","Trustee","Ms","Anastasiya","","Karelina","06/12/2019","31/08/2026","Appointed by academy members","",""
"1426714","131262","","","Member","Mr","Michael","","Dangoor","28/01/2020","","Appointed by academy members","",""
"1426717","131262","","","Member","Mr","Elie","","Dangoor","28/01/2020","","Appointed by academy members","",""
"1449535","131262","","","Trustee","Mr","Jeremy","","Sanders","02/07/2020","03/11/2025","Foundation/sponsor members","",""
"1512400","131262","","","Trustee","Ms","Tabassum","","Awan","17/12/2020","31/08/2026","Foundation/sponsor members","",""
"1512403","131262","","","Trustee","Ms","Hifsa","","Haroon-Iqbal","11/03/2021","31/08/2026","Foundation/sponsor members","",""
"1532410","131262","","","Trustee","Ms","Beth","","Fuller","08/07/2021","31/08/2026","Foundation/sponsor members","",""
"1603493","131262","","","Trustee","Mr","Kamen","","Ivanov","17/03/2022","19/11/2025","Elected by parents","",""
"1614065","131262","","","Chair of Trustees","Mr","Mike","","Karp","06/12/2017","24/06/2026","Foundation/sponsor members","",""
"1645927","131262","","","Trustee","Ms","Angela","","Piddock","02/01/2016","31/08/2026","Foundation/sponsor members","",""
"1658394","131262","","","Trustee","Mr","Mohamed","","Mohamed","01/01/2024","14/05/2026","Appointed by foundation/Trust","",""
"1703761","131262","","","Member","","EF Nominees","","Limited","29/07/2021","","Foundation/sponsor members","",""
"1726820","131262","","","Trustee","Mr","Luca","","Benedini","06/12/2023","05/12/2027","Elected by parents","",""
"1726822","131262","","","Trustee","Mr","Jerry","","Collins","01/01/2024","31/08/2028","Appointed by foundation/Trust","",""
"1726826","131262","","","Trustee","Mr","Patrick","","Farmbrough","01/01/2024","31/08/2028","Appointed by foundation/Trust","",""
"1752999","131262","","","Accounting Officer","Mrs","Numera","","Anwar","01/08/2024","","N/A","",""
"1784131","131262","","","Trustee","Mrs","Numera","","Anwar","21/11/2024","31/07/2028","Appointed by academy members","",""
"1784223","131262","","","Trustee","Mr","Victor","","Kamenker","03/11/2024","01/01/2028","Foundation/sponsor members","",""
"1798609","131262","","","Chief Financial Officer","Mrs","Chantelle","","Thomas-Payne","24/02/2025","","N/A","",""
"1859724","131262","","","Governance Professional - Single-Academy Trust (SAT)","Ms","Farha","","Patel","01/09/2024","","N/A","",""
"1884569","131262","","","Trustee","Ms","Gergana","","Draganova","04/06/2026","03/06/2030","Appointed by GB/board","",""
"1885624","131262","","","Chair of Trustees","Mr","Alastair","","Metcalf","25/06/2026","24/06/2031","Appointed by foundation/Trust","",""
"1009367","131609","","","Accounting Officer","","Chris","","Brown","01/09/2015","","N/A","",""
"1467362","131609","","","Trustee","Mr","Nav","","Khinda","19/03/2020","19/03/2028","Appointed by GB/board","",""
"1467372","131609","","","Trustee","Ms","Zoe","","Evans","01/10/2020","01/10/2028","Appointed by GB/board","",""
"1484623","131609","","","Trustee","Mr","Phillip","","Jones","28/09/2023","28/09/2027","Appointed by academy members","",""
"1586391","131609","","","Trustee","Mr","Michael","","Sales","17/03/2026","17/03/2030","Foundation/sponsor members","",""
"1586393","131609","","","Trustee","Mrs","Elizabeth","","Ifi","17/03/2022","16/03/2026","Elected by parents","",""
"1606767","131609","","","Trustee","Mr","Wayne","","Lawson Turnbull","23/06/2026","23/06/2030","Appointed by foundation/Trust","",""
"1638150","131609","","","Member","Mrs","Sally","Ann","James","02/12/2022","22/06/2026","Foundation/sponsor members","",""
"1709085","131609","","","Trustee","Ms","Sozinha","","Paulo","23/11/2023","19/05/2026","Elected by parents","",""
"1711262","131609","","","Trustee","Dame","Benita","","RAYNE","04/10/2022","04/10/2026","Appointed by GB/board","",""
"1764789","131609","","","Trustee","Mr","John","","Robarts","26/09/2024","26/09/2028","Appointed by GB/board","",""
"1780829","131609","","","Chair of Trustees","Mr","Bert","","Suer","29/11/2024","11/10/2028","Appointed by GB/board","",""
"1808416","131609","","","Chief Financial Officer","Ms","Doreen","","Agbodo","22/04/2025","","N/A","",""
"1809545","131609","","","Trustee","","Eleanor","","Schooling","20/01/2025","19/01/2028","Appointed by GB/board","",""
"1810605","131609","","","Trustee","Ms","Sue","","Roberts","01/09/2024","01/09/2028","Appointed by GB/board","",""
"1822093","131609","","","Member","Mr","David","","Soanes","16/07/2025","","Foundation/sponsor members","",""
"1822102","131609","","","Member","Mr","Bert","","Suer","11/10/2020","","Foundation/sponsor members","",""
"1855423","131609","","","Member","Mr","Colin","","Parry","02/12/2022","","Appointed by academy members","",""
"1869494","131609","","","Trustee","Mr","Mehmet","","Yilmaz","17/03/2026","16/03/2030","Elected by parents","",""
"1884189","131609","","","Member","","Virginia","Louise","Airey","22/06/2026","","Appointed by academy members","",""
"1887519","131609","","","Trustee","Ms","Mya","Rashida","Yilla","09/07/2026","09/07/2030","Appointed by GB/board","",""
"1101980","131747","","","Local Governor","Sir","Daniel","","Moynihan","23/02/2024","22/02/2028","Appointed by foundation/Trust","",""
"1421935","131747","","","Local Governor","Mr","Alexander","","Fleming","03/12/2023","02/12/2027","Appointed by foundation/Trust","",""
"1592950","131747","","","Local Governor","Ms","Katherine","","Cumberbatch","01/04/2026","30/03/2030","Foundation/sponsor members","",""
"1610328","131747","","","Local Governor","Mrs","Gizle","","Landman","01/09/2022","","Ex-officio by virtue of office as headteacher/principal","",""
"1636376","131747","","","Local Governor","Ms","Sarah","","Harvey","31/10/2022","30/10/2026","Elected by school staff","",""
"1690031","131747","","","Local Governor","Mr","Peter","","Groves","01/09/2023","31/08/2027","Appointed by foundation/Trust","",""
"1703161","131747","","","Local Governor","Mr","William","","Stowe","04/10/2023","03/10/2027","Elected by parents","",""
"1754680","131747","","","Chair of Local Governing Body","Mr","Christian","","Kramer","01/09/2024","31/08/2028","Appointed by foundation/Trust","",""
"1784235","131747","","","Local Governor","","Oliver","","Guy","10/12/2024","09/12/2028","Appointed by foundation/Trust","",""
"1784239","131747","","","Local Governor","","James","","Jones","20/11/2024","19/11/2028","Appointed by foundation/Trust","",""
"1794585","131747","","","Local Governor","","Anusha","","Kamath","14/01/2025","13/01/2029","Appointed by foundation/Trust","",""
"1794588","131747","","","Local Governor","","Marie-Ella","","Ondzie- Ahoue","27/09/2024","26/09/2028","Elected by parents","",""
"1794598","131747","","","Local Governor","","Rebecca","","Hickey","09/12/2024","08/12/2028","Appointed by foundation/Trust","",""
"1818055","131747","","","Local Governor","","Venkatesh","","Renganathan","04/02/2025","03/02/2029","Appointed by foundation/Trust","",""
"1829034","131747","","","Local Governor","Ms","Philippa","","Fernandes","03/03/2025","02/03/2029","Appointed by foundation/Trust","",""
"1829037","131747","","","Local Governor","Mr","Alastair","","Holder-Ross","02/04/2025","01/04/2029","Appointed by foundation/Trust","",""
"1829040","131747","","","Local Governor","Mr","Alexander","","Finkelstein","31/03/2025","30/03/2029","Appointed by foundation/Trust","",""
"1829046","131747","","","Local Governor","Mr","Jac","","Jones","25/03/2025","24/03/2029","Appointed by foundation/Trust","",""
"1881384","131747","","","Local Governor","Mr","Julien","","Violette","21/05/2026","20/05/2030","Appointed by foundation/Trust","",""
"1650103","131749","","","Chair of Local Governing Body","Mr","Geoff","","Hopwood","07/02/2023","07/02/2029","Appointed by foundation/Trust","",""
"1700730","131749","","","Local Governor","Mrs","Karen","","Jones","12/07/2023","11/12/2025","Appointed by GB/board","",""
"1705009","131749","","","Local Governor","Mr","Craig","","Leonard","27/09/2023","27/09/2026","Appointed by GB/board","",""
"1737725","131749","","","Local Governor","Mrs","Lucy","","Frewer","28/02/2024","28/02/2027","Appointed by GB/board","",""
"1804700","131749","","","Local Governor","","Kelly","","Glendinning","28/02/2024","18/12/2027","Appointed by GB/board","",""
"1804701","131749","","","Local Governor","","Luke","","McShane","01/02/2022","18/12/2027","Appointed by GB/board","",""
"1420647","131752","","","Local Governor","","Paul","","Cook","28/03/2013","31/12/2028","Appointed by GB/board","",""
"1513356","131752","","","Local Governor","","James","","Crispin","10/11/2017","31/03/2027","Appointed by GB/board","",""
"1513361","131752","","","Local Governor","","Steve","","Divall","01/03/2012","31/08/2027","Appointed by GB/board","",""
"1541063","131752","","","Local Governor","","Ken","","Bromfield","01/09/2008","31/08/2027","Appointed by GB/board","",""
"1612835","131752","","","Local Governor","","David","","Carr","01/09/2022","","Ex-officio by virtue of office as headteacher/principal","",""
"1656006","131752","","","Local Governor","","Gabriella","","Fink","27/02/2023","31/03/2026","Appointed by foundation/Trust","",""
"1660091","131752","","","Local Governor","","Daniel","","Iliff","17/03/2023","31/03/2029","Appointed by GB/board","",""
"1661487","131752","","","Chair of Local Governing Body","","Tyronne","","Fisher","21/03/2023","31/08/2029","Appointed by GB/board","",""
"1701309","131752","","","Local Governor","","Imogen","","Sarre","03/11/2023","31/12/2026","Appointed by GB/board","",""
"1719169","131752","","","Local Governor","","Lauren","","Neckles","10/01/2024","05/02/2026","Appointed by foundation/Trust","",""
"1795246","131752","","","Local Governance Professional - Individual Academy or Free School","","Vanessa","","Watson","04/01/2023","","N/A","",""
"1807285","131752","","","Local Governor","","Lynda","","Lounis","31/03/2025","31/03/2028","Appointed by GB/board","",""
"1700722","131895","","","Local Governor","Mr","Sanjeeb","","Mohanty","12/10/2023","12/10/2029","Appointed by GB/board","",""
"1705112","131895","","","Local Governor","Mr","Kamran","","Din","08/01/2018","24/10/2027","Appointed by GB/board","",""
"1705116","131895","","","Local Governor","Mr","David","","Green","05/10/2023","05/10/2029","Appointed by GB/board","",""
"1802847","131895","","","Chair of Local Governing Body","","Juliet","","McKervey","01/12/2024","31/12/2027","Appointed by foundation/Trust","",""
"1802851","131895","","","Local Governor","","Rob","","Ireson","08/02/2024","08/02/2027","Appointed by GB/board","",""
"1802854","131895","","","Local Governor","","Kath","","Rangeley","01/11/2019","31/10/2028","Appointed by GB/board","",""
"1802856","131895","","","Local Governor","","Robert","","Wapshott","01/11/2019","31/10/2028","Appointed by GB/board","",""
"1410567","131896","","","Local Governor","","Deborah","","Fitzgerald","14/01/2019","31/08/2028","Appointed by GB/board","",""
"1705210","131896","","","Chair of Local Governing Body","Mrs","Jane","","Hobley","01/09/2023","31/08/2029","Appointed by foundation/Trust","",""
"1705214","131896","","","Local Governor","Mrs","Amanda","","Stebbing","01/09/2023","30/04/2026","Appointed by GB/board","",""
"1804703","131896","","","Local Governor","","Natalie","","Anderson","01/10/2018","31/08/2028","Appointed by GB/board","",""
"1804711","131896","","","Local Governor","","Richard","","Watkinson","09/05/2022","10/02/2029","Appointed by GB/board","",""
"1875497","131896","","","Local Governor","","Tanya","","Barnes","12/02/2026","16/04/2026","Appointed by GB/board","",""
"1875498","131896","","","Local Governor","","Chris","","Hunt","10/07/2025","09/07/2028","Appointed by GB/board","",""
"1875499","131896","","","Local Governor","","Sam","","Denno","04/12/2025","03/12/2028","Appointed by GB/board","",""
"1102445","131897","","","Local Governor","Ms","Aisha","","Samad","01/01/2015","","Ex-officio by virtue of office as headteacher/principal","",""
"1102451","131897","","","Local Governor","Sir","Daniel","","Moynihan","01/09/2006","03/10/2028","Appointed by foundation/Trust","",""
"1255857","131897","","","Local Governor","Mr","Atik","","Ahmed","28/11/2017","29/11/2029","Appointed by foundation/Trust","",""
"1460386","131897","","","Local Governor","Mr","Jamie","","Semple","01/09/2020","31/08/2028","Elected by school staff","",""
"1460458","131897","","","Local Governor","Mr","Joseph","","Keller","01/09/2020","01/05/2028","Appointed by foundation/Trust","",""
